"ICGC-Head_neck_common_SBS1","ICGC-Head_neck_common_SBS18","ICGC-Head_neck_common_SBS17+18+100","ICGC-Head_neck_common_SBS2","ICGC-Head_neck_common_SBS3+8","ICGC-Head_neck_common_SBS127","ICGC-Head_neck_common_SBS13","ICGC-Head_neck_common_SBS3+16","ICGC-Head_neck_rare_SBS31","ICGC-Head_neck_rare_SBS4","ICGC-Head_neck_rare_SBS33+95","ICGC-Head_neck_rare_SBS33"
0.0154696912544485,0.0327676149691595,0.0133547927283542,0.0029994423834472,0.0238512309307601,0.0175227766105105,0.00169942329056041,0.0259933629664698,0.00750966549060403,0.0440114634931456,0.0161109665718979,0.000770941341898888
0.00984435133698601,0.0101887608919724,0.000614550438870984,0.00310025962761714,0.0143134883734318,0.00687199384745336,0.000801259927539576,0.0109438247999268,0.0366475509253296,0.0284896492185511,0.00457957887582804,0.00307086557142487
0.00241704555950699,0.00436402575029816,4.17901507442489e-16,0.00107189642579089,0.00398197142614945,0.00187750391723866,2.85151693189837e-22,0.00249884331929146,4.98206854692151e-15,0.0136561672647249,0.000580178654809114,1.56500390288812e-08
0.00558356270430086,0.015359393793719,0.00408623497595427,0.00305003884185776,0.0172202364965177,0.00920472954261745,0.000734848233558464,0.0167404842365116,0.022774750115188,0.0267794707767403,3.77178611740091e-05,0.00456041605655906
0.0200763312038253,0.0347793842549805,0.0167808006938396,0.0051829225724614,0.01849643249814,0.0161426581325708,0.00172426807053979,0.0149614042727193,0.0251777582590301,0.0744664875384941,0.0117651957579192,1.08908485377443e-05
0.00832262479152302,0.0150565089689435,0.00682139836032619,0.00113186038257372,0.0156969342582784,0.00916567575239703,0.00124136906520567,0.0138567746651115,0.0222338931363177,0.0638064864248851,0.00326550515489036,0.00539945664325873
0.00190204339559147,0.00764914184543281,0.00175738590802856,0.00114020770117736,0.0051191249163727,0.000365862823832668,0.000489627302912918,0.0036410289854936,0.00245588655280129,0.0157965614347718,1.1946672509035e-05,1.93504409904003e-07
0.0144822576469758,0.0237673447377996,0.0177158597825321,7.55680402211995e-09,0.0138240221592581,0.00798658983447042,0.00271348908154939,0.0187908564705287,0.0392972091297934,0.0501469380536489,4.50843338978271e-05,0.00875926624010848
0.0293792435292002,0.0462732157739011,0.0319334621255539,0.00100050254038921,0.0122288443121726,0.00544255995844242,0.000756977047301121,0.0122496117986975,2.43252401984091e-21,0.0258393920036559,2.72263338804475e-05,0.0102023047380795
0.0071601762353409,0.0170494991060076,0.00592764865878936,0.00131665394064666,0.0085229257884169,0.00720832311165906,0.000863383043582478,0.0150818447440873,0.0297811567367777,0.0243252009965289,0.00900529304767132,0.00216437328131965
0.00207624432777559,0.00725404905825003,0.000404187014316153,0.000878990621449113,0.00249841880196164,0.00193984681185016,2.85151693189837e-22,0.00217329663023106,0.00166361373053053,0.0116360024381629,3.15257377860585e-11,0.000163956698955727
0.0158296753607653,0.0179468404876475,0.0134231092200697,0.00115866844212216,0.008596932245778,0.00648065174061991,0.00104145848192684,0.0130848286862429,0.00104610490019653,0.0167667310084221,7.50589770967654e-14,0.00729993658405221
0.0157337937228022,0.04322921165518,0.00968451688888388,0.00882145830789252,0.0172472829958338,0.00603917876482947,0.0294133988161327,0.0292789022798004,0.0192893591035813,0.0340364608359185,0.0277214551250439,0.0316334553971887
0.0144469400068318,0.0267683129390827,0.000906928520844549,0.00629369152711348,0.0166329627556262,0.00506517363195867,0.0117611976873778,0.0206516514842324,0.0166730741907019,0.0409593029624823,0.0168327299031892,0.01323910212078
0.00308453144785198,0.00678040869860556,0.00070453203686229,0.00112021021213189,0.00502162585513171,0.000887053458055793,0.00245946582668305,0.00304799339549442,2.16215839279113e-05,0.0058614590435089,3.47889477548579e-05,0.0031644890816606
0.0346288836601585,0.0532516124212395,0.0358879919520728,0.0103442385286995,0.0139549466889066,0.010726667695966,0.0168731609105861,0.0338990985557737,0.0222903338507788,0.0312552488001529,0.0279654222095391,0.0312223248655082
0.00463821394958142,0.00823173405181686,0.00388730326172148,0.00110396411067455,0.0128589190550057,0.00578346726379086,0.00320820717341765,0.0100089320533702,2.59364870461896e-18,0.0160505143575048,0.00143971986221281,0.00324608775653098
0.00628412683561872,0.00430368752539625,0.00252761722496571,4.0601048182261e-22,0.00658130101805264,0.0041116397317139,0.00109036116528245,0.00773704802804682,0.00522300270797448,0.00444688003842369,6.08122580800234e-10,0.0015795697096316
0.00166359800016214,0.00184845487930312,5.38533162161551e-22,0.000642514901233796,0.00411325438485628,0.000687694658255313,0.000529363705593949,0.00192770112102582,0.00124617596398528,0.00341160972369995,3.37097225499898e-16,2.10301043429523e-08
