"GEL-Oral_Oropharyngeal_common_SBS2","GEL-Oral_Oropharyngeal_common_SBS3+16","GEL-Oral_Oropharyngeal_common_SBS17","GEL-Oral_Oropharyngeal_common_SBS1","GEL-Oral_Oropharyngeal_common_SBS13","GEL-Oral_Oropharyngeal_common_SBS127","GEL-Oral_Oropharyngeal_common_SBS18","GEL-Oral_Oropharyngeal_rare_SBS4","GEL-Oral_Oropharyngeal_rare_SBS7a","GEL-Oral_Oropharyngeal_rare_SBS10a","GEL-Oral_Oropharyngeal_rare_SBS31","GEL-Oral_Oropharyngeal_rare_SBS33","GEL-Oral_Oropharyngeal_rare_SBS13","GEL-Oral_Oropharyngeal_rare_SBS93+121"
0.00266368977914792,0.0149486833120292,0.00852954181473576,0.0106560585699632,0.000115756650847421,0.0255430242281708,0.0428899026470983,0.044099529713866,0.00302597965098428,0.00944180832796248,0.00250928784128599,0.00933143674033397,9.90504463433651e-05,0.0305782402607774
0.000924934975241295,0.0121375263947875,0.00900300488881517,0.0113846453746669,0.000119012197234729,0.00557188852734823,0.0130402290310974,0.0305342747617006,0.000508136627210676,0.00680023442123484,0.033507311478735,0.00165280734632582,0.00562682811454298,0.0139851726938297
0.000861740519156067,0.00447219237326685,0.000671165646566759,0.00139026077252435,6.38144446763542e-10,0.0012371691097425,0.00353190607085991,0.0154642630006936,0.00010748460847261,0.00089413029262892,0.00510371574209508,0.00121996356788362,0.00162711605859311,0.001571639215566
0.00132568817414311,0.0121688394825159,0.00844239846106912,0.00271390876013997,8.28788016112137e-05,0.0175372546920171,0.0195516138987433,0.0285211859255073,0.000651555248750272,0.00820670640394426,0.0151854072414934,0.01378704371572,7.64886269288986e-13,0.0173741722966912
0.00300814711065928,0.0199969808844074,0.00798013685850122,0.00556327577353147,0.000752303716947974,0.00968930777582245,0.0462332693471789,0.0588129851256632,0.00188859483343383,0.00698025295461332,0.0148031191256707,0.000179989445972445,0.0163568336267067,0.0191321405232024
0.000857106844374697,0.0160882631782629,0.00278653423371191,0.00382081178376182,0.00071088991784758,0.00362989622990597,0.0172617885165138,0.0581044671552781,0.00179347616943431,0.00159813677682696,0.0227702834162745,0.00367148786212682,0.0107848733130656,0.0110346091385845
0.000274251561975461,0.00514873164010372,0.000988325960138721,0.00167188950151871,0.000166097142734173,0.000392134603582345,0.00648077366602497,0.0135073387883409,0.000367751922103204,5.86183918171411e-15,0.00358915951226207,0.000895116655889938,0.00183321922574752,2.92611256787095e-15
0.000205328680612451,0.0163532667129466,0.00667986749130464,0.00565010758561527,0.000776531696928236,0.0133598492157133,0.0321950655048885,0.0415337914753978,0.00481139780855303,0.0144998251832497,0.0475123513401105,0.0056101656923307,0.0290099868546972,0.00962532182260808
0.00357950733673348,0.00655672410666017,0.0161893674585053,0.0119618907434439,0.000208022205598319,0.00916926806243003,0.0750957529103491,0.0136202625322923,2.64988788492838e-14,0.0100351226967397,1.40595089220374e-11,0.00394964108035967,5.48464174702682e-10,0.0199166185688849
2.13840836774136e-07,0.0106077225805133,0.00525973230808188,0.00536227944498995,0.000201410903773274,0.00177260200066373,0.0139733541373498,0.025816448027994,9.5309376614528e-05,0.00526414239035777,0.0255681581485914,0.00454370744342519,0.00980959725383913,0.00854642756661056
0.000902237170402063,0.00379611466856503,0.00156345303895657,0.00135541266621144,0.000102882196082179,6.6511331728147e-21,0.0041555479155927,0.01158337253324,1.08314832611378e-79,6.18409710889838e-97,1.51559939299783e-07,0.00129227274908137,2.60858568585751e-39,1.53817665619606e-101
