"GEL-Pancreas_common_SBS1","GEL-Pancreas_common_SBS18","GEL-Pancreas_common_SBS5","GEL-Pancreas_common_SBS17","GEL-Pancreas_common_SBS1+5+18","GEL-Pancreas_common_SBS3+8","GEL-Pancreas_common_SBS2+13","GEL-Pancreas_rare_SBS44","GEL-Pancreas_rare_SBS108","GEL-Pancreas_rare_SBS98","GEL-Pancreas_rare_SBS57"
0.0143444882832157,0.0398787587363965,0.0125113976780033,0.00452749094304156,0.00958837946777483,0.027767124449705,0.011337689252312,0.00493882379586832,0.0966485321587933,0.017769958642656,0.0189164808043551
0.0133625719511084,0.00672766703471729,0.0151599119666679,0.00535414403617173,0.0127798655210427,0.0204128978439233,0.00961836025650898,1.37018779133054e-106,0.0108879469951427,0.00215061472743976,0.00286469900671597
0.00254041131515266,0.00184050371458158,0.00232745407086113,0.000297481416514429,0.00190049295132419,0.00307493419921554,0.000466881933143723,3.7199427425639e-216,0.00609279943224272,0.000550171492380229,0.00312484513534714
0.0115720806669024,0.0189609213271236,0.00540948586968842,0.00395731425781284,0.000988192039668686,0.0257675037276415,0.00428177990075701,0.0044725627786854,0.0401290351821823,0.0111956040107158,0.00091901286055225
0.00806913092741964,0.018222357590721,0.0104749203278822,0.00444316952451044,0.00984349121431703,0.0194105196403079,0.00813326551822665,0.0129007126041021,0.0329442631755202,0.00726581609094498,9.60290861731416e-29
0.00539872525669603,0.00805973172368673,0.00657029743693883,0.0034038460631248,0.00494194727356854,0.0245156410787379,0.00176374688560153,0.024783572016022,0.0210100820006338,0.0113129197842034,0.00493632839470161
0.00136327229290619,0.00331963185043621,0.00351065857439229,0.000543679288369495,0.0029691827191033,0.00171426790134879,0.00217239645209559,0.00300077718123672,0.000260341186943063,4.12909366018627e-40,0
0.00884208984118741,0.0215951238968288,0.00707854057182436,0.00293924275570145,0.011549406543989,0.0248494166151998,7.71193184337801e-13,0.060819983816906,0.0276778847542747,0.0112745766725778,9.95363943775045e-05
0.00149906150586883,0.0533995882001291,0.00614943144187358,0.00519213778058137,0.00776406762588065,0.0106818163653682,0.0118505949404741,0.00952914399219609,0.10426515861106,0.00478602039767094,1.46518851506197e-16
0.00602789624564753,0.0108453242959324,0.00692330122244957,0.00163667670452486,0.00909152053655061,0.0100332576807868,0.0072800542535667,0.00270216543237195,0.0176498398141029,2.22801663284066e-08,0.00336534774543782
0.00183165562620544,0.00328042867825972,0.00266134272436642,0.000250465048378709,0.00227972659912518,0.0012757265201372,0.00204587384998921,0.000374399908681644,0.00263142003341276,1.55010601207564e-16,0.000844101136927911
4.03665815864982e-05,0.0323763647472523,0.00742390886965427,0.00410299977823759,0.00697467360041674,0.0099186232506163,0.00663140272142774,0.013104388518938,0.0656593033724997,0.0141710487192088,0.00134388928694783
0.00857772086899716,0.0558801093261188,0.0129337851850247,0.00864065435544055,0.0197077416215665,0.0103990859043665,0.0263372802021136,0.00375682808681309,0.0347966766508733,3.63266299754242e-09,0.00312771505707131
0.00526734477962184,0.0248353786062652,0.0132696647681791,0.00432461915516302,0.0109280795080558,0.0173826552030116,0.0155483936996173,0.00494697060595692,0.014157904501384,0.00966364356102553,2.00369406858388e-31
0.00097156273177177,0.00437929829539262,0.00310377281247647,0.00110295139776062,0.00213432887801201,0.00143425590079569,0.00194256486411946,0.000848306935931057,0.00676828146842532,1.86500836767693e-20,0
0.00719145268991579,0.100646752000244,0.0184800020175698,0.0105290714290126,0.0383256692089966,0.0137209582058158,0.0252244518349814,0.0172705123809059,0.0470886216720087,0.0878351241799669,0.00311159659815031
0.00544076886506818,0.00376068802447972,0.00418015480085734,0.00189162880624356,1.35411894207346e-15,0.0156060649782245,0.00515227053210393,0.00439726678834445,0.00863522066980729,0.00694625386380188,0.0100288582469306
0.00209869593185931,0.00266343814508774,0.00486180295440219,0.00089566232109116,0.00456812446937765,0.00789271234400816,0.00180873786413877,0.000756824212716469,0.0076729549038824,0.00335415887321116,0.00167558995010457
0.00062023881435563,0.00102892869896175,0.00110992677292418,0.000343923731967755,0.000917989602922338,0.00229252211918033,5.77618365427934e-05,0.000107959313841376,0.00153252173894494,0.000980660598582167,0
0.00376531737540039,0.00449066173413288,0.00622512709639778,0.0024973864032829,0.00436205531069071,0.0166431562793629,0.00391451442599139,0.00185468685454648,0.010282688762859,0.00404021228359538,0.00390713500207209
0.000142927034798369,0.00173477387006981,0.00193873448533157,0.001068650229714,0.000858702917278357,0.0121332171886967,0.00500034960822818,0.000511696325478271,3.45916396131793e-36,0.00407558127680924,0.00322736475658372
0.0016712868023327,0.000391645316833573,0.00326299180561143,0.00106864576126166,0.00110057497051454,0.0107590460119274,0.00405389554968183,0.000727881299368647,0.00292144438933086,0.00618987158555587,0.00208115502093729
1.27396788006526e-21,3.87983498544479e-07,0.00144984693502159,0.000240564147071987,0.00111598314684784,0.00201138425565602,0.00127946946597103,0.000186531725658162,1.08275865036145e-48,0.000615955155822847,0.00210059634508155
0.000156399298074656,0.00379007175413629,0.0031387095527726,0.00200720592791615,0.00218803313029278,0.0160569055733743,0.0050484868386236,0.000436526277257565,0.00869009414853544,0.00455560758469684,0.00417197285955237
