"GEL-Prostate_common_SBS2+13+92","GEL-Prostate_common_SBS17","GEL-Prostate_common_SBS1","GEL-Prostate_common_SBS5","GEL-Prostate_common_SBS18","GEL-Prostate_common_SBS3+8","GEL-Prostate_rare_SBS57","GEL-Prostate_rare_SBS93+121","GEL-Prostate_rare_SBS44","GEL-Prostate_rare_SBS6","GEL-Prostate_rare_SBS32","GEL-Prostate_rare_SBS33"
0.00904644612234265,0.0149902221703556,0.0161398505499344,0.0195762240277713,0.0323111080604348,0.031964559324922,0.0353722795716107,0.00945315275503953,0.000464418044462107,5.0016266360228e-74,0.00653061487375904,0.0124565614586164
0.00750762538041002,0.00656877959523722,0.00827938113220782,0.0119201398880976,0.0187856751623064,0.0254153500925436,0.0135997066068049,0.00523837609425925,0.00170406034217347,0.0011774052637862,0.0108605670017142,0.00720057651760765
0.0021170677376127,0.00132733532828279,0.00215607754064178,0.00279363686445193,0.00270639997776087,0.00392756888575908,0.00331807916962768,1.15537431785863e-05,1.277975335048e-259,7.37034715662337e-149,0.00165186594856037,0.000154185722753979
0.00488587999871802,0.00814187559961427,0.00783365727652439,0.00816952402182441,0.0166208453912609,0.0295744065838041,0.00832842316777071,0.0206454095232094,0.00338087310199021,0.0014978428494332,0.0162299882429651,0.00591714821615956
0.00910133911116754,0.00799600820660259,0.00899415477955122,0.0060882829159169,0.0199788372515792,0.0294633247912455,0.00774764466150701,0.0129199298015338,0.00864334935499352,0.00377354768337137,0.00565537919507672,0.00903524928875756
0.00902891363717291,0.00598608176831092,0.00483706254977186,0.00578292379512272,0.0116949075905184,0.0253631679630839,0.0045792126891859,3.17896808934551e-15,0.0185609198811789,0.00839986760922747,0.00337637757477774,0.0043519326533167
0.00122175914457057,0.00183625405348602,0.000999997454291918,0.00116561113740901,0.00330241310791985,0.0038005365994986,0.00455969235374598,0.00170865013885963,0.00267205135426453,0.00146462352446531,0.00405675924995362,0.00243176538443679
0.00618009762583063,0.00868912190248556,0.00468546489226499,0.00131734916386613,0.0167054101459852,0.0296109137799231,0.00895874545415584,0.0141061304397828,0.0457560145557791,0.0203303013222308,0.0144877594319804,0.00755129667769997
0.00372383134954829,0.0174024198328592,0.00746418494637274,0.00542985487015059,0.0320117042047441,0.0147938034480221,0.00805821870609755,0.0223055325775566,0.000190277945648241,0.00125771187961112,0.00180672409816898,0.0078322620668625
0.00580783369204488,0.00353791249085945,0.0024680008994283,0.00802100914467052,0.0130511227288877,0.0137876364058159,0.00563132585620847,8.44932185998646e-06,0.00332860687110401,0.00364370455411014,0.00795523764327967,0.00543263314685515
0.00192487085320229,0.00094589809960743,0.00208582020211379,0.00211157016823287,0.00170492880566438,0.00250454492739629,3.62300736846747e-21,0.00127518701932619,0.000595153968119179,0.000310336197868065,0.00107196181969817,0.000679849363254842
0.00333671961515789,0.011577407754439,0.003246373181825,0.00245185915699752,0.0202465988640663,0.0157013338864031,0.00710209926893938,0.0119556449825712,0.00865161641928085,0.00794475512516614,0.000708733871512439,0.00540440820751227
