"Ovary_A (RefSig 1)","Ovary_B (RefSig 18)","Ovary_C (RefSig 13)","Ovary_D (RefSig PLAT)","Ovary_E (RefSig 8)","Ovary_F (RefSig MMR2)","Ovary_G (RefSig 3)"
0.0241281261988017,0.0242321222409306,0.00762689664309219,0.0196885331568406,0.0365412412056514,0.00503768427474867,0.0208625585900737
0.0147585736158248,0.0137799612620091,0.00538848924749548,0.0290235648261048,0.0339969724461853,0.00360068618265314,0.015553568325188
0.00259931384819246,0.00737921307028548,0.000260318675177112,0.00146115668012823,0.00329255659103532,0.000559286421361971,0.00143731335904981
0.0104305320550674,0.0217837345021415,0.00625812810549189,0.0183298758824803,0.0343473284196275,0.00324178365861205,0.0128817955839536
0.00575294989524153,0.0316033755013668,0.00463836788926714,0.0264046101732289,0.0286264556350834,0.00349034565391312,0.0137397137547139
0.00260871145763732,0.0152520302917102,0.00294063638594533,0.0273175195084516,0.0316044049715721,0.00522994131364173,0.0129574947154563
0.00157416928230139,0.00669238464669776,0.000175503255809378,0.0029890622174139,0.00202848529688931,0.00220352415271794,0.000814996744731043
0.000234381038592349,0.0383748419349837,0.00405429132873757,0.0295063707622637,0.0247738434978826,0.0110469967814455,0.00701909450482681
0.00682956075992432,0.0316255608868086,0.0042381448749501,0.0327858329689113,0.0111998198927478,3.03323212206049e-05,0.00171067337685337
0.00519438362825856,0.00671793299930522,0.00598513051407228,0.0374389508627254,0.0131893477936217,0.00346119185884215,0.00487328595253948
0.00340472714855917,0.00557095900011515,0.000902938631172663,0.00208153996747999,0.00169286888318216,0.000649012684514802,0.000361986296050778
0.00289680323639865,0.0275883965906635,0.00370897641622765,0.0270104151955883,0.0145856823883505,0.00408212579859481,0.00367183221755241
0.0134953976459156,0.0470319206487171,0.0212780386420823,0.0220427229205017,0.0147229458800793,0.0024742356015311,0.00689391567646543
0.0109224299063299,0.029809166856723,0.0123302886338625,0.0182138360677876,0.0196790618006029,0.000468701586975844,0.0136432530289491
0.00277160053097831,0.00815602742203937,0.00184382760933668,0.00110645501835107,0.00194537952664413,0.000554103806718898,0.000198834632607492
0.0147493828802558,0.0726070993337667,0.0124626581331153,0.0334906934831254,0.0165670047563828,0.00554106750060494,0.00366392643005471
0.00629965132763859,0.0103283470701212,0.00748902157119993,0.00732572644809599,0.01643007534112,0.00267774858711592,0.0275858736311676
0.00287529228402503,0.00558705517762429,0.00432152049460869,0.00292484546571977,0.00953980900910349,0.0010854087712007,0.0156136101501848
2.03744583197565e-14,0.0214757508758952,0.000876523969518139,6.91023289021998e-14,7.61551622065659e-14,0.002091323149265,0.00320812762341706
