"Uterus_A (RefSig 13)","Uterus_B (RefSig 10)","Uterus_C (RefSig MMR1)","Uterus_D (RefSig MMR2)","Uterus_E (RefSig MMR2)","Uterus_F (RefSig 8+3)","Uterus_G (RefSig 2)","Uterus_H (RefSig 1+18+N1)","Uterus_I (RefSig 1)","Uterus_J (RefSig MMR1)"
0.000206913644204829,0.00220935117556044,0.00350491908192299,0.00204405262915101,0.0117668991683078,0.0287792992672589,0.00362823203369951,0.0269994971364504,0.0277822808795915,0.00412133572045799
9.11649348281933e-09,0.00338588044284906,0.00303623292608535,0.00275637689864755,0.00710429968724687,0.0235142422166581,0.00461469257473573,0.0298531897096249,0.0128342807465578,0.00441130585683138
0.000496490640345363,0.000318109813333348,0.000475916824096462,0.000475297855724847,0.000836382879652493,0.00381485972343623,2.50554190629875e-22,0.00364023872002267,0.00403006170892261,0.000671745897671349
4.01337106534817e-08,0.0141407324217563,0.00274758601823627,0.00244695341014522,0.00502531461181014,0.0255614992802586,0.00403907886990562,0.0301992334903482,0.00524760978023032,0.00673559811047985
8.41469248691927e-05,0.00299182286993402,0.00960309173426279,0.00213746306295987,0.00463511015824926,0.0230061980521188,0.00487655595405019,0.0159405178943454,0.0184028121008238,0.0169099194099989
0.00084622205818886,0.00084401385679959,0.0247733332146062,0.00615854586605845,0.00307287506308701,0.0164970167252031,0.00370556621504701,0.0120794051796795,0.00581208852017811,0.00943147946994696
4.51629544123058e-23,0.000211143227519953,0.00540295230722291,0.00216649891224418,0.00225794865675412,0.0029721233846585,0.0013342089244623,0.00259298334037332,0.00240478014816061,0.0015982457957473
0.000857539389559179,0.0123555801952281,0.0523979094840224,0.0106582033327936,0.00180695829787514,0.0131292207761487,0.00436386494945576,0.0202046338392384,3.2300780017488e-09,0.0579946589145777
0.00162936908642887,0.00155781917880396,0.00236174128066662,0.000566347575354393,0.00572585647542841,0.0115292712890645,0.00318522553159818,0.026472159727354,0.0298446521569092,0.00408869324399396
1.35184957713169e-22,0.00183489425089962,0.00311667383450703,0.00181116106577417,0.00388065041002269,0.010698517766715,0.00283945311495823,0.0173643924321374,0.00764590807979708,0.00410428532981427
