"Biliary_A (RefSig 17+5)","Biliary_B (RefSig 1)","Biliary_C (RefSig 2+13)","Biliary_D (RefSig 5+24)","Biliary_E (RefSig MMR1)","Biliary_F (RefSig 18)","Biliary_G (RefSig 8+3)","Biliary_H (RefSig 30)","Biliary_I (RefSig 5)"
0.0115447080577788,0.0027270286472867,0.00978420233737723,0.0201221500479139,0.00199333356620266,0.0393325954925612,0.0249952680308328,0.0120789811463778,0.0238692317404844
0.00942019973304921,0.00335110781284402,0.00765464061542926,0.0171440173394468,0.00168384781767176,0.0228687900688473,0.0143139744127687,0.00697492304832275,0.0139646123500335
0.00249067436921646,0.000100067506289364,0.0011993812592032,0.00469704122743316,3.03222211686781e-22,0.00271763071936273,0.00255896147440065,0.00218891513974996,0.00568757180533643
0.00905250820616691,0.00624033982307402,0.00640170089094864,0.00988774763037307,0.00340109179038833,0.0200189121498915,0.0209292033908326,0.00480497228919031,0.0130755302051818
0.00985615142209077,0.00526995136808406,0.00562442638766342,0.0251919984205999,0.00833633939328516,0.0369247676747988,0.01524510083515,0.0114765945062235,0.0221497193229895
0.00756062890979396,0.0114556824854121,0.00405906872105024,0.0213785314199377,0.0144207639475611,0.00864078049782177,0.0189440721317471,0.00221564707946396,0.012027485466069
0.000449926099544964,0.00361728167514931,0.000787355169030077,0.00517233894003224,0.00230458598804161,0.000693795572728872,0.0025698830796527,0.00140156274278232,0.00440139506706314
0.00539832281487515,0.029510439291147,0.00121830951530228,0.0135054163920996,0.0423171208829828,0.0224957853876134,0.0212562838862825,6.36910074570685e-22,0.0101201429563487
0.00950089333345726,0.00359526891285371,0.00641111834198738,0.0265378218146124,0.00112045673299115,0.02898853793307,0.0155599899806114,0.00943062678651756,0.0120971918123388
0.00604928677460251,0.0088715784088355,1.53367544558532e-06,0.0455785383512245,0.000301760634148695,0.00258205622275179,0.0109253291497829,0.00455422042246357,0.00697940411691819
0.000742501006184629,0.000698657399393666,1.0930114410871e-05,0.0244630465022209,0.000609428914365921,0.00390212936446816,0.00158939062116463,0.000920586938118415,0.0013332975273385
0.00908930997539083,0.0172016844755086,0.00298507001202433,0.0258926949368675,0.00443245265671044,0.0152440850246299,0.0122282074509086,6.36910074570685e-22,0.00300532107242036
0.016172697293378,0.00277244704917449,0.0230722734684988,0.0178041325987066,0.00153902224850787,0.0486001703432983,0.0220851223108653,0.011670985378157,0.0157732046078463
0.0147821743353867,0.00540047555048913,0.0105201164715049,0.032030057514441,1.01848547881318e-10,0.0133205171847171,0.0162337718449223,0.0154755083869356,0.0188217768327771
0.00403852756283369,0.000613451481018994,0.000594979892401399,0.00559358863853843,3.93814539498837e-05,0.00388066815583627,0.00247860550394734,0.000932424464733442,0.00178475326629438
0.0175860753323166,0.0140288408740569,0.0184542035330421,0.019747336543587,0.00946173042656805,0.0651954127836926,0.0230813506937819,0.009308751787035,0.0128086178596288
0.00337153308662225,3.12200287157581e-06,0.00346883461004621,0.00464828769819105,0.00190795952866425,0.00749978721073424,0.015175366879176,0.00332045767991993,0.00248173206797301
0.00339990972892542,3.08798399921238e-22,0.00109340248306506,0.00109493444047564,0.00136187695824357,0.00626314011160067,0.0112423770961905,0.00454530595376678,0.00102946794426901
0.00340257547633117,4.37083810816318e-05,0.00149914076311254,0.000266268000435941,0.000113840610598131,0.00113743930964574,0.00262924679965648,6.36910074570685e-22,0.00161526690762566
0.00468163312962443,0.000246783733463972,0.0045590139917357,0.00279800932616677,0.00354380348217482,0.00839410224547897,0.0214679494123173,0.00465411690937429,0.0037167940583509
0.00332076880627607,0.000120118466247153,0.0040397794545821,0.00504128141429259,0.00034067844043121,0.0041683443611711,0.0101770572616022,0.00281045908501862,0.00401071148992495
0.00573404392081533,0.000673390186354238,0.00245024840397592,0.00484194359591593,1.48589633271176e-16,0.00310762090529621,0.00844814394714424,0.00307868294594883,0.00443040381820479
0.00284503733311298,3.08798399921238e-22,0.000854374420777036,8.56442125267734e-06,3.03222211686781e-22,0.00150037068730877,0.00174546916526779,0.0013379866984851,0.000639894915182228
0.008575151827389,3.08798399921238e-22,0.00685287492826887,0.00465074047102867,0.000858252676852238,0.00619167347462022,0.0132019614431217,0.0044693960204205,0.0074428795139482
0.00198476807192688,0.000196086942419779,0.00229473732460422,0.00182868801536507,0.00100583225602756,0.00232043944592586,0.00725677352246578,0.00347442494746502,0.00294902369419643
0.00155261303056386,1.52231977266072e-09,0.00177861543045958,0.00178803281840747,0.00370699066105185,0.00312823052886932,0.0110686837914839,0.00342863803306997,0.00164145683547702
0.00024396909601248,3.08798399921238e-22,0.000882619090021839,0.00115333103608479,0.000375840337815308,0.000489453883240811,0.000926643373189802,0.000233351642526062,0.000705095401445925
0.00457562348043106,0.000562283909380268,0.00177368153132773,0.000828224562078558,0.00171215385153835,0.00428117364567401,0.0131175365942378,0.00467912337090361,0.00223646656427012
0.00993462130423699,0.000872669780925375,0.0890816304256562,7.74899079865709e-06,4.60836777231126e-07,0.00288647349905095,0.0274185121212924,5.34625515345372e-05,0.000147616668643384
0.00824534557933404,5.37613927918341e-13,0.0214813319418473,0.006524252030109,0.000340298003947805,0.00390796942198422,0.0146725738298677,0.00180610393772315,0.00445282621685634
0.00236960444888723,3.08798399921238e-22,0.00255581253092958,0.00186367236129549,2.49678854208142e-21,3.75298229602098e-22,0.00141815882064988,0.00106731998021565,0.00127567664186815
0.0173218675107659,8.97039170626512e-09,0.112383774770019,0.000655128820904333,0.00333415290140223,0.00877282538268022,0.0369139071558497,0.0039556348552077,0.00676403807703447
0.00609488275656507,0.0255936856252052,0.00704449070140722,0.00275500546653918,0.0270283915661263,0.0154831019989206,0.00566014388273403,0.0828211107722534,0.0141273355064644
0.000114818528381721,0.0108763615774216,1.00290595836234e-07,0.00313140312187739,0.0111529585232221,0.00573654438359033,0.00374412325253684,0.0479990522152439,0.00610332479878023
0.00495777304187255,0.16505513673348,0.026198738882474,1.08913229190644e-07,0.0062330647270857,0.0424909425288356,0.00262786422704429,0.0314694942985789,0.0068381452810291
0.0020686363460411,0.00732154891030214,0.00377882075691527,7.54194247439089e-07,0.00722610928735758,0.0168139773538778,0.000327980741463489,0.0685313243503948,0.0118303362673463
0.00625801005058541,0.00620374450160444,0.0114411891414654,0.00557034818277154,0.00360423367729539,0.0210841845378435,0.0135862062002097,0.0549744211219482,0.0211131835530505
