"Bladder_A (RefSig 2+5)","Bladder_B (RefSig 2+8)","Bladder_C (RefSig 5)","Bladder_D (RefSig 13)","Bladder_E (RefSig 2)","Bladder_F (RefSig 18+30)","Bladder_G (RefSig 1)"
0.0111701953349013,0.0290569302163272,0.00614152653261922,0.00324432284212792,0.00245073682996426,0.0386359959610267,0.00978830836246792
0.00544834381702743,0.0154661041048873,0.00829013656344116,4.3503148744117e-06,0.00261084131147031,0.0300015914532694,0.00902123107821753
0.00105309273818739,0.00385000152738027,0.00473339396592674,0.000544744683771198,0.000740566723352515,0.00122273025545387,0.00241491943911384
0.00745452447813435,0.0186849493891098,0.00469746462971449,0.00190427193176564,1.08144893417047e-11,0.0190285880088507,0.00470203662171272
0.0077874844434945,0.0341509432296911,0.0152907953367793,0.00583807994074076,0.00158114215120474,0.0226983734542943,0.00616054768263274
0.00364247705698862,0.0286483751550502,0.0118426299000107,0.000970230629709411,0.00238713071071536,0.0119480683002149,0.00610898739783409
0.000423000179403103,0.00616747848981846,0.00459536104032125,0.000801487976235766,0.000670161076200988,0.00303737245086812,0.000931452766442462
0.00458438961806698,0.0317587493530009,0.00894249014092718,0.00106415508992844,0.00203944456419195,0.0171450796747799,0.0059246707665116
0.00425574526320977,0.0181574010562649,0.0066485560353827,0.00181713286899501,0.0028523183681802,0.0336037237925972,0.0115977350380772
0.00488098400800714,0.0113774427035873,0.00517827591967409,0.00135411083286523,0.00190760141143547,0.0220077711678935,0.00185758931474838
4.57966444226883e-22,0.0032395780418464,0.00421466478842907,6.17189763106701e-05,0.000251254702706986,0.00388159605496548,0.00248544008881241
0.0023511621618466,0.0104005164752257,0.00480931932619484,0.00121095645084846,0.00249414875115481,0.0289627498069833,0.0058727828906459
0.0101834223818144,0.0302543152502165,0.0119920630699161,0.0373216850080011,0.0239949723798125,0.0222277780015315,0.0124720432888605
0.0128491707421652,0.0267881736755387,0.00765553348873402,0.0147140564574864,0.00969475863409077,0.0228699340868318,0.0054478658274588
4.57966444226883e-22,0.0064043952762797,0.000759309784149117,0.00269617012865017,0.00266268053825164,0.00411246081048706,0.00205060983403493
0.0124348889564378,0.0241587206428757,0.0068019445309483,0.0219334443183379,0.0120310666457188,0.0329789958230669,0.0239168335075086
0.0119115065461024,0.00951941863068853,0.00159822486171217,0.0051177029885318,0.00225861005073855,0.00865352188021818,0.00304186215103744
0.00643308881244906,0.00523705039740396,0.00204280525553277,0.00119148311518753,0.00173679263262642,0.00674115435000489,0.0034318825913983
0.00338113770705794,0.0024037293951496,0.000822727511113025,0.0007218319967942,3.54499347456363e-22,0.000475492419538839,0.000289417572343328
0.0104846091748311,0.0131154464668234,0.00460137120285416,0.00469756512849933,0.00166365128639728,0.00640894571912733,0.00687448176351539
0.011003277040699,0.00764319495453981,0.00205065873936664,0.00319091575288995,0.00227998395670776,0.00748489237991628,6.19077788390556e-22
0.0110913258300629,0.00410228183465341,0.00391046883368574,0.00117800654766287,0.00122524219973762,0.00614538252372781,0.00233719921588133
0.0117526287543707,0.00184006425578829,0.00238250774257413,3.51407926184791e-22,0.000975921558305868,5.75062802367453e-22,0.00120201009101954
0.0142673490963292,0.00952476795832339,0.0053069226559299,0.00601803290388807,0.00489720423730651,0.0088097955504984,0.00333750069886491
0.00384655055968987,0.00573721294783145,0.00194158502079324,0.000466132529551107,0.00132640273613455,0.00985516702834579,0.00216072355600959
0.00430764097792008,0.00425663958659349,0.00177186008910435,0.00115956660768734,0.000631408212151388,0.00560468801988167,0.00140686123122786
0.00158185715712756,0.00149622899698851,5.48108728161574e-22,0.000543835636270077,0.00063875268367569,0.00111064700465421,0.00083304013440428
0.00545130292649418,0.00757655212044514,0.000517654315890638,0.00123514203029063,0.00135953174254474,0.00557722216372787,0.00267273433085111
0.0128862326509991,0.00306840515775618,0.0229004551859148,0.210440880026012,0.109267894111963,0.0214659934025787,0.000299406319059726
0.00862546484432626,0.0132977885714676,0.00212238381210032,0.0451954540479066,0.0216379700754801,0.00766994039192942,0.00236298466372713
0.00584860116761309,0.00486919946816656,5.48108728161574e-22,0.009759342789724,0.00407107203045985,0.00154683036073109,6.19077788390556e-22
0.000808682686406487,0.0455996081275481,0.0152155899792611,0.247370435533872,0.138555678017033,0.0163916340444041,0.0112741587687132
0.0199555064079304,0.0105428388275023,0.0269241020427775,0.00364901630733307,0.00660939872152207,0.0202191483118897,0.0208891091102043
0.0134280802425203,0.00379945953735596,0.0146551840632209,0.00155027363279394,0.00358743013834588,0.0181039748049351,0.00847060143937513
0.0107494664099736,0.000655826766235516,0.00991980655171067,0.00891980123259525,0.00276119368796311,0.0142358010987226,0.13617281054454
0.0205112396343532,0.00531364213482268,0.0181222476390692,0.00380843361556566,0.00318337765122445,0.02618154092757,0.0119781934643771
0.0165833901532763,0.00379210630015157,0.0417957519883878,0.00995396786671451,0.0133161654823951,0.009918192975413,0.0174776632458373
0.0123500049651252,1.54891348371748e-11,0.0383058048219035,0.00400617023897874,0.00602206525682622,0.0203948414139792,0.017361534458944
0.00626145142447691,0.00522491734740353,0.0108230196798114,0.00584427587020385,0.00395201683384519,0.0109549821443039,0.103098934137623
0.0185373341423856,0.00660172359249963,0.0539765720678527,0.00732742474357725,0.00954676142451509,0.0160232435765204,0.0200634093456167
0.0140789073321465,0.00574058736652328,0.012552013749023,0.00606889875545886,0.00715536753154055,0.0270057158396617,0.00879614792457306
0.0113303921835775,2.58816693656219e-05,0.0143571038325447,0.0053210888936692,0.00441738842384405,0.0247307533446916,0.0122360945184061
0.00630495841156115,0.00127914302732313,0.00370476353494047,0.010212613029697,0.00110097357046622,0.0188757675904219,0.111406646166766
0.0114647936009886,0.00337454285443672,0.0169110245311433,0.00590954047474805,0.0045842237639123,0.0374077373637905,0.0157574121209373
0.0339877754976117,0.0372468963647561,0.0267494262162416,0.149826850949301,0.288990048079514,0.0193286076495921,0.0324479272363702
0.0215810098211939,0.00955107292257164,0.0196313362879966,0.0282698285652009,0.0563251423812233,0.0246156287303479,0.0221840193580002
0.00865272363368606,0.00931293334898476,0.00106016754281079,0.0140245372779904,0.0314103665521968,0.0116224638874449,0.0687885814419046
0.036912418004407,0.0224546906303149,0.028562482452763,0.0554834952459529,0.147117536217691,0.0315393189569701,0.030799788179629
0.00802103175127762,0.0208773993265673,0.00670347582474204,0.0014428309318303,0.000959815379646557,0.00601138998945896,0.00585299578877102
0.00647298858796826,0.00686887586496894,0.00244197452349524,0.000458758964149131,0.00062562052356638,0.00711693730014354,0.00492002249205711
0.00431917948757731,0.0133594438062156,0.00584982737024589,0.000233774366807401,3.54499347456363e-22,0.00351610439877845,0.00456079876642891
0.012215069347972,0.0112173447094369,0.00768843669625358,0.00499126776899134,5.88302511948981e-06,0.0158371252441729,0.0122773091909833
0.00115838345553805,0.0198456308956945,0.00521345766582335,1.18391994878967e-10,0.00136283799948605,0.00740264843078409,1.361868937933e-10
0.00434621897784959,0.0159343071546457,0.00176587251165598,0.000785003427412505,0.000352173747282231,0.00225976643282017,0.00299956498191336
0.00396623993803541,0.0192724001698983,0.00692299637609136,0.000147592807143734,0.00059544712186753,0.00145897097777889,0.00110968378814505
0.00434229342377525,0.0277521567105595,0.00279436081302321,4.82444460480518e-07,0.00145981573126561,0.00767059192923409,0.00345275240142296
0.00383832272044803,0.0110689974935976,0.0048481691008103,0.000361345916745233,0.000617586001841328,0.00213675280601905,4.26143873047728e-05
0.00384350670637948,0.00691705767771122,0.000815723648228502,2.83585047806471e-07,0.000506803951577161,0.00209317055869001,0.000617752038351624
0.00316708640553359,0.0116488927305645,0.00494068211213084,3.51407926184791e-22,0.000731761946076652,7.96524346093638e-21,0.00151618954105552
0.0043740530883077,0.0118832048315474,0.00378031552586254,0.000420676790516049,3.54499347456363e-22,0.00463884465347422,2.43183316446818e-06
0.00864669016169802,0.0189693070206038,0.00646317181704551,0.00431077823746466,1.55864433686809e-10,0.00749400430131008,0.0120235062473732
0.00645718224570965,0.00784489300775202,0.00145685526261543,0.000556262680777146,9.38209262778047e-08,0.00382204523294572,0.0038991631275093
0.00620219712213629,0.0083332499226594,0.00678477805064621,0.0006941591651119,0.000233057616864213,0.00277256953142735,6.06500236108992e-05
0.0106040795412727,0.0213655993061868,0.00188247916931511,0.00224898491428796,0.00074790286112071,0.0118210797198797,0.00805751290134358
0.0377152475920936,0.0213458738208759,0.102335002813925,0.00154570065167854,0.0065965949608721,0.00858205878853193,0.00525646700606939
0.0180748308706691,0.0015112682689331,0.00564659547652417,0.0016403728146337,0.00125609932237835,0.00513791091472371,0.00389828461423211
0.029299962249642,0.00952274881696072,0.0490695632294986,0.000857416222753858,0.00325359553257437,0.00192719479482648,0.00754308879094755
0.0332037801974892,0.0124476646129485,0.0333968245648677,0.00317077098254116,0.00349470981428324,0.0160331065833463,0.0108320113374106
0.0123288272842815,0.0147414334776616,0.0349186344238481,0.000808876924928566,0.000582090405700317,0.00455169928897732,0.000637034051189583
0.00994495569269129,0.0071635339538969,0.0047349085837762,0.000954348015744251,1.96576321787406e-11,0.00619108038227212,0.00543875602417317
0.0156909380237254,0.00838729369459464,0.015223601271524,0.000776422427907442,0.000265002132516326,0.00353331760744789,0.00312298487587243
0.0102596573708681,0.017136601350584,0.0141831141278909,0.000798771209126191,0.00167775287423997,0.0109331371257248,0.00745348708943908
0.022594075873728,0.00689148926939835,0.0333488804700011,0.00115972717320246,0.00299259237505745,0.00939152259637561,0.00177039729454278
0.0112196164218547,0.000871356455980701,0.00375191770638839,0.000585018085549545,0.00166842524275428,0.00331106818377685,0.00762451028265335
0.012158218289161,0.0068606856537763,0.00973391589972192,1.06248572228929e-21,0.00181624537075672,0.00223935043798439,0.00876785234219379
0.017667104956447,0.00614364669093896,0.0136586482957055,0.0021925738196049,0.00191511885206713,0.0078702999961208,0.00603692118116293
0.0208472020869631,0.0129195767408589,0.0385219198122974,0.00121323035230707,0.0020935538838094,0.00895896628227622,0.00327520928600804
0.0103544399958685,0.00317345835355227,0.00334889241213543,0.00177403636090789,0.000296360292977534,0.00668216560112638,0.00632149363338972
0.0102280980331838,0.00423489024527359,0.0152751153572671,0.000283584659244879,0.00159170026506791,0.00573665897835983,0.00952561175692247
0.0152168355473306,0.00989972615498491,0.0146622071650091,0.002108452715709,0.00337945873684396,0.0141918136921358,0.00695731178016446
0.00767296678765274,0.00217169483149009,0.00334308967924003,0.000737939423054737,3.54499347456363e-22,0.00359778849090442,6.19077788390556e-22
0.00333027253696849,0.00141453122396312,8.91595239424296e-05,0.000517463232319162,0.000445536203618167,0.00263723085548286,0.000977093029698733
0.00678804009558345,0.00453753023057691,0.000713218513667527,0.000286117405435072,0.00029791715403871,0.00198985043746952,0.00335724089118799
0.0134736131408554,0.00117327587456633,0.00350901800028743,0.00207862701339726,0.000492700302417805,0.004274354758319,0.00614621892318094
0.00911667225547082,0.00124904100063347,0.00172485935439101,0.000796051130355952,0.000197653534909529,0.00187280273512527,0.0015614031665815
0.00581643384901802,0.00254685608117462,0.000370447873456432,0.000263298601266952,0.000498807150231804,0.0021594936711784,0.00194996921076483
0.00836646739596444,0.00564256452610083,0.00197810670059624,1.82472758283867e-15,0.000963356552131353,0.00262346224671134,0.00296643639521179
0.0183731521882469,0.0115661551456433,5.48108728161574e-22,3.89232193463685e-18,0.000872181666915859,5.20995183185218e-17,0.00865343849811259
0.0037786611465976,0.00292677554045358,0.000534385840463857,0.000346301698746111,9.01051512473881e-05,0.00122417340018511,0.00113969799086459
0.00229402821522809,0.00140346153710492,0.000467797096451314,0.000292992945709446,0.000272753530320074,0.000375114464891283,0.000918619608882355
0.00525348520846447,0.00523176682622101,0.00145239976531683,0.000118099924174851,1.93635538993708e-14,0.00187854462494664,0.00236994566130671
0.00614078334404202,0.0053888249830195,5.48108728161574e-22,1.99958267236781e-05,0.00135483972162601,0.000398828708299046,0.00413449757602462
0.0125330793273569,0.00466374591809965,0.00171580616824231,0.00100905643682661,0.000349388652567592,0.00302806153852357,0.00240022541834417
0.00827940905636777,0.00123210827231039,0.000376656879102391,0.000443149494218569,4.46584504630856e-05,0.00238678424647424,0.00284490427826627
0.00881248497562202,0.00308500775202464,0.00168286018478326,0.000173502425958607,0.00103973660992716,0.00621826327767969,0.00222525566241045
0.0263025480517078,0.00658872590378457,0.00205038908049432,0.00245243712163736,0.001027869297952,0.00455005882423221,0.0122944950109326
