"Breast_A (RefSig MMR1)","Breast_B (RefSig 2)","Breast_C (RefSig 13)","Breast_D (RefSig MMR2)","Breast_E (RefSig 8)","Breast_F (RefSig 18)","Breast_G (RefSig 30)","Breast_H (RefSig 17)","Breast_I (RefSig N1)","Breast_J (RefSig 1)","Breast_K (RefSig 3)"
2.10449560341079e-22,0.000492752361075741,0.000249896994861431,6.60237157147811e-10,0.0366398824659162,0.0518535944209958,0.0198398191336255,0.00305216093971316,0.0201567632097146,0.00358914814227647,0.00874596888526899
0.000487191773555387,0.00028531555314508,0.000599866750087683,0.000262297294070885,0.037639909100626,0.0251401878477179,0.0174598076553387,0.00224307067277791,0.0213661082852506,0.00629192956503726,0.00386603338299292
2.10449560341079e-22,1.1506488124615e-15,1.17974827236168e-10,0.000349769799865475,0.0029995040410757,0.00429564469106503,0.00396302273187156,3.82156115264596e-22,0.00357721909606874,0.000348795302901094,0.00379852317665086
0.00306479686226432,0.000245711261723684,0.00124272313333818,1.57641494525282e-09,0.0388308569499395,0.023649880742092,0.00843638066176886,0.00181426214967841,0.0155308409292298,0.00207106041293035,0.00493674383089814
0.012346189886355,0.000782983968358439,0.00177900062658068,0.00101636661379557,0.0348906868167065,0.0509868276947023,0.00460854547797973,0.00238800104786293,0.0101217052442622,3.43961960375924e-22,0.0107633959667986
0.025755007288745,0.000301961040129363,0.000919794110527473,0.00199231948325554,0.0340945174783018,0.0117444929322105,0.00533439735809777,0.00141651060062298,0.00785174551053349,0.003216708460851,0.00945519930089875
0.00567136065984088,0.000183392660578552,0.000257216074064009,0.00187426898415958,0.00253119771128568,0.00690977715259598,0.001097517775563,0.000136308319964728,0.00201431202438221,0.000767229771874227,0.00350168988493793
0.067622147450595,5.91585844991994e-06,0.00112806667973651,0.00496014440759189,0.0296203666996434,0.018090783303791,1.98746816264045e-07,0.00301828751118705,0.00466990182606962,4.43308764987051e-06,0.00464818650202909
0.000356534473638277,4.35258013926374e-06,0.000151551211826469,2.38345144643305e-08,0.0170428373491614,0.0741294389439037,0.00774250837718902,0.00366025121195193,0.0103399719266997,0.00404041233171783,0.00448105106026019
0.00219926433370971,1.38119551759192e-07,0.000585714047791557,0.00188617667958794,0.021130519201086,0.0195254617080848,0.0127409662170735,0.00142132747167143,0.00649083983274633,0.00282998458678873,0.00339287404125511
0.0003818033232706,6.89544575327006e-08,0.000280303019079538,0.000357508486373735,0.00133513018396063,0.00704031750463755,0.00358090536370927,0.000404211947394297,0.00242850603657901,0.00130180647087947,0.000596176752990586
0.0080628733423543,0.0001500845710714,3.89238359077746e-07,0.00225902898064741,0.0208073368021599,0.0470920871884783,0.00311039256846838,0.00417550521836425,0.0048010519826167,0.00178109596831447,0.0036537269495485
0.000575550013297945,0.0186475006459386,0.0438653916387491,0.000877618402880281,0.0216283049778478,0.0798976482883215,0.00988720115823283,0.00548081891758388,0.0120229551161389,0.00359887940634256,0.00109460663549079
0.00206946306337251,0.00603006494584381,0.016619367378375,0.000571918789444671,0.0209630605409587,0.0487623226467952,0.0235353784157963,0.00218884077970076,0.0104217748864422,0.00167120890308961,0.011139445895366
3.95495925908575e-12,0.00156575182344939,0.00248197052904158,0.000444993983748284,0.00110825563094395,0.0120041981686811,0.00368367780668627,0.000709489770870821,0.00363024379266252,0.000663006019284359,0.000327684329328605
0.0135965478796414,0.0121806018882671,0.017537223592795,0.00647046975786109,0.0252343309544239,0.132476791093543,0.00351597862034504,0.0120809888473899,0.0173135904046933,3.66911620311421e-10,0.00620682948907758
0.00259443865927766,0.000469554856999675,0.00378496076200843,0.00159999331326292,0.0109414651928929,0.00102917839826703,0.00666984166476685,0.00127940327952216,0.0107651826865967,0.00181635706143094,0.0392002447990445
0.000678159629668191,0.00021056955149037,0.00104002645271066,0.0013452825791139,0.00673902972989439,0.00499362361347303,0.00753037039718234,0.000814611154246512,0.00796701763366257,0.00166565620387001,0.0192522412259963
0.000159547058676936,0.00028399903955675,0.000111447786258212,0.000740310658956709,0.00125167236547495,0.000869556157471748,1.98095822874505e-11,3.83012727947819e-22,0.00278123717760748,0.000261267548756174,0.0144728529642655
0.00326471140923316,0.00115795835371715,0.00318685178679109,0.00222449713676406,0.0123858067158192,0.00152780637256716,0.00366308394292515,0.00273603354690031,0.0137379201793382,0.000975263948123629,0.0387211649724689
2.10449560341079e-22,3.21884491612175e-12,0.00506225807582204,0.000145863255474398,0.0101427861667794,0.00223380548702798,0.00581464182775202,0.0013731136158614,0.00392013921036393,0.000489364115041157,0.0259332296621545
2.10449560341079e-22,4.64184079451662e-05,0.000974926831563379,6.98705682176157e-12,0.0104570802430849,0.00149687874081459,0.00958431137885047,3.82156115264596e-22,0.00451580241924007,0.000813963197059953,0.0202540810102217
