"Head_neck_A (RefSig 1)","Head_neck_B (RefSig 1+17+2)","Head_neck_C (RefSig N1)","Head_neck_D (RefSig 4)","Head_neck_E (RefSig PLAT)","Head_neck_F (RefSig 13)","Head_neck_G (RefSig 18+16)","Head_neck_H (RefSig 18)","Head_neck_I (RefSig 2)","Head_neck_J (RefSig 33)","Head_neck_K (RefSig 3)"
0.0063815762187819,0.0125858100674096,0.0154167633927212,0.0402405911612212,0.0130830906986555,0.00193890176747231,0.0241587224606362,0.0477645069004864,0.00229666048645651,0.0065653865739401,0.0190132533268122
0.0137623375174222,0.0033538040119402,0.0108929887456663,0.0239558863881975,0.0222538429606779,0.00128065727453712,0.0109528608042193,0.002472635662259,0.00116768642386931,0.00431944813416199,0.0059134202423626
0.00119572472552702,2.65448891362792e-19,0.00300775822454703,0.0119466569526352,6.59418475324248e-22,2.70713328616251e-22,0.00257430932362853,0.00452948650025737,0.00153644197590882,0.000410785498328394,0.00144162695774652
0.00160687493382683,0.0031341294424909,0.0109435198504986,0.0248097327410194,0.016983638717507,0.000149028859347528,0.0173740692140842,0.0163669109619538,0.00289798779357926,0.00399815797727154,0.0198888947985007
0.0120474780123093,0.0148280798961655,0.0176848146693869,0.0573716618814273,0.0202185020067913,0.00298191319159096,0.0124565375757867,0.0499784196819426,0.00158178869495873,0.00735933376006081,0.0124882213085578
0.00386874839450212,0.00657759720728934,0.0112983920738892,0.0512960337601144,0.0133239421888482,0.00239221646886323,0.00884198276706575,0.0162219995469898,8.22641938381934e-14,0.00427223096770061,0.00446391580356647
3.64461836703277e-06,0.0004728966478876,7.36913542566043e-20,0.0136623305700476,0.00285829228458703,0.000577521057815955,0.00393545555623308,0.00814473025465887,0.00145037291723583,0.000768876806862398,0.00239961155672309
0.0115491625130233,0.0190939326582115,0.00310253031634173,0.0386313781187201,0.0235626572571088,0.00316186770827626,0.0150323545446253,0.0326297916859221,0.000610109051098834,0.00697937925845244,0.00692719698161788
0.0233559779837665,0.0338509950165274,0.00256761219298455,0.021714714275269,0.000239576410952103,0.000684068154312586,0.0170862110339997,0.0906691096536298,1.88482958628412e-09,0.0114767551776898,9.35526465951731e-11
0.00738064927927281,0.00416616768662879,0.00528032642066766,0.0206009246473093,0.0228021617520817,0.00121301120492988,0.0130436420167696,0.0124288829582695,9.69126598280706e-07,0.00368392613791415,0.0039585364278266
