"Lung_A (RefSig 13)","Lung_B (RefSig 17)","Lung_C (RefSig 1)","Lung_D (RefSig 4+22)","Lung_E (RefSig 5)","Lung_F (RefSig 18)","Lung_G (RefSig 3)","Lung_H (RefSig 33)","Lung_I (RefSig 4)","Lung_J (RefSig 2)"
0.00421547319700505,0.00708129907873323,0.011448270450665,0.0352108914995953,0.0302534977051576,0.0404834553437094,0.020669594894365,0.0304247106634136,0.0674264114350481,0.00842921412681411
0.00201743003191885,0.0019792814430406,0.0127190577382387,0.0273027730687652,0.00931345216996337,0.0172535920301403,0.0200635906694761,0.0167040600199104,0.0388486715002748,0.00885541493564792
0.000625142834127158,9.02392602656415e-05,0.00191069850928826,0.0129082339312921,0.00730413745856722,0.00126466783893117,0.0045348391364077,0.00843390753608098,0.0141115752624858,0.00227439478423965
0.00170010558785037,0.0020554171249997,0.00585139278173918,0.0255312027412612,0.00898147260227317,0.0275721877673338,0.0192370251687561,0.0181692745594733,0.0457665182735561,0.00808070079098718
0.00480179946275293,0.00367469868612806,1.05819499231245e-06,0.0757090822825195,0.0305681280808198,0.0249686360138891,0.0322838338690174,0.0345851310564782,0.0780467153456891,0.0140758366301135
0.00285091176240098,0.00334686243063917,0.00216216225492524,0.0809007310200955,0.0106146495442769,0.00129783247593824,0.0350219318269074,0.0207805261143288,0.0639414679897633,0.013606918849004
0.00133936010748544,0.000147291065586945,2.21732791873445e-17,0.0233458061179187,0.00834596745103258,0.000626657867013761,0.00226044978314584,0.00616361637360405,0.0143223284674858,0.00237235261633644
0.00495358875036072,0.00392555765449035,0.00133297858906263,0.0734223704277637,0.0112426838169387,0.0180626000858999,0.0217203076112038,0.0184944513640659,0.0645628892958371,0.0103480428625808
0.00265106290131798,0.00217415636932114,0.0084798631279235,0.0291121124243198,0.0157248752844103,0.0501146835131694,0.00726807926679789,0.0121462718352984,0.0449452790833559,0.00971875453344348
8.1985907530554e-06,0.00209005029179511,0.00533327258193354,0.0316428400981909,0.0126634904098077,0.0111131142685473,0.0165131088627146,0.015558278162652,0.0384144854014779,0.00870626330398556
