"Bone_SoftTissue_A (RefSig 18)","Bone_SoftTissue_B (RefSig MMR2)","Bone_SoftTissue_C (RefSig 8)","Bone_SoftTissue_D (RefSig 30)","Bone_SoftTissue_E (RefSig 2)","Bone_SoftTissue_F (RefSig 13+3)","Bone_SoftTissue_G (RefSig 17)","Bone_SoftTissue_H (RefSig 1+5)"
0.0371257458624692,8.6169863213415e-21,0.0359144293213838,0.0128750784140564,0.0123168898878597,0.0099699934563546,0.010512067238575,0.0278060787419836
0.0143479563193347,0.00853661163620393,0.026799966159005,0.00536024312797693,0.00998955616187876,0.0104513854667423,0.00493457272693324,0.0157111428036854
0.00169285560892702,0.000146373329710236,0.00439653732744422,0.000210397673676722,0.00164603043972783,0.00124036799206749,0.00282394426724753,0.00393939153437854
0.0229048148654093,0.00819135182883257,0.0395177686399227,0.00482881774519564,0.0105263270006146,0.0124262159507573,0.00427723036907766,0.00902393498490683
0.0216365587945432,0.00106680434538449,0.0315214836956481,0.00904267487308195,0.00970210111862704,0.0192450649266832,0.0125183403344926,0.010368547104529
0.00997652433572842,0.011748976359485,0.0310044604296217,0.00383959393658977,0.00392672026338435,0.0195287437139917,0.00266391290228295,0.00574032918619033
0.00194911908026395,4.30440097292391e-09,0.00281347177085464,0.00324072053185443,6.77243540802878e-21,0.00206107973908863,0.00168248093109968,0.00322536387606412
0.034224920486657,0.0186899163170073,0.0287896039080811,0.0010754765072711,0.00719285722231543,0.0111081819092462,0.00853180735761718,0.00509417491947395
0.0535824582210236,0.00428220407845906,0.017148164133048,0.0074024174296311,0.00309339383067407,2.24086762614848e-12,0.00906498548119688,0.00475731766465808
0.0172410873191332,0.00592710069235404,0.0174288167788389,0.00288807827037573,0.00323759685980088,2.69953581113611e-13,0.00841591391055284,0.0088300978000603
0.00416611791796282,2.0363707545974e-07,0.00202663235120491,0.000287291282871322,6.77243540802878e-21,7.07539370872656e-21,0.00246723665219564,0.00262699398342926
0.0359732671417041,0.0074143207751637,0.0203007202770244,0.0044110992165859,0.00130336980517488,0.00732250011300207,0.0092944870737197,0.000514151454137298
0.0425360647604194,0.0102729721929687,0.0117542881309778,0.000256455168510916,0.0164892834751374,0.0144783656469109,0.00995244707230085,0.0107351319207652
0.029525437086074,0.00752240859041304,0.0135118923098522,0.00254014472552029,0.0115008735996401,0.0120801531560251,0.00385037618348991,0.00787137356540441
0.00240891958289618,0.00196626051770117,0.00138214271943129,0.000668175925977595,0.00127082996145786,0.000410850959852572,0.00182933317586106,0.00279138390076691
0.0755765185608989,0.0235475549554851,0.0151254562182778,4.59158479147981e-05,0.0175889817668064,0.00553111102614543,0.0173610959104882,0.00377871909292986
0.0161558069573514,0.00947635742633074,0.00784357127506379,0.00710708146111891,0.00369461482690831,0.0184182957565753,0.00804653150844917,0.00952953278815433
0.00296335995493211,0.00883397802943817,0.00229483163371017,0.00265439844487514,0.00138918375666157,0.014324847396585,0.00362575073493197,0.00456734517292259
0.00353441850321931,8.6169863213415e-21,0.00151020706910502,0.00120981289210126,6.77243540802878e-21,0.00330987444373047,0.00211360183435751,0.00331084686175364
0.00741499032949919,0.0094589827106515,0.00429705436473739,0.00741622490063281,0.00499598118735846,0.0283401912005518,0.00775027621454961,0.00276879997949333
0.00802939505141925,0.00656400951019672,0.0034556984133283,0.00750131590355128,0.00361219325297061,0.0125756153723203,0.00734790685608533,0.00021401052662212
0.0074959391539387,0.00673250944147459,0.00608602355432323,0.00387621477803704,0.00132375091739301,0.0093114990539315,0.00490692241396313,0.00380861141745181
0.00125965611412875,8.6169863213415e-21,0.00131133264021068,0.00120040698888605,6.77243540802878e-21,0.00352125651574518,0.00145440228248003,0.0011378038018116
0.0105039351890366,0.00530907173734099,0.00480999076198909,0.0073461892070724,0.00644474780367309,0.0263236944738115,0.00793962660098692,0.00256815772871288
0.00564575814564697,0.0011820020870768,0.00334455206217228,0.00332672211231578,0.000959116062481693,0.0076134982156318,0.00434718158568876,0.00253710814339755
0.000763258662479274,0.00369020829493558,0.00551129252483434,0.00201650597217892,2.98842906836408e-19,0.00728787344476846,0.00637713289389049,0.00243327709648987
0.000983540454994065,8.6169863213415e-21,0.00133336266190758,0.000487618831036271,6.77243540802878e-21,0.00282207120248738,0.000669538894265422,0.00153433860470971
0.00859727378629872,0.010457178149026,0.00345864568225439,0.0013969921124374,0.00397760734112576,0.0121072703474423,0.00456195303062127,0.00289486296237724
0.0144939995361023,0.021582303053974,1.05599785285048e-05,5.7922309713176e-20,0.0513254028807383,0.0568791359932099,0.0085495200134998,6.41089852285161e-21
0.0142885623473158,0.00863396723018724,0.00416704957267224,0.0021458022842567,0.0162362204523699,0.0304898566681455,0.00566101503505486,0.00214364682581263
0.000620251181479115,0.00141053728642172,0.00107310542828613,0.00123365744924453,0.000592170459179005,0.00379326839750695,0.000857104634883428,0.00116906326105654
0.013278576006934,0.0241684896645534,7.62237473231078e-20,0.00275930499594394,0.0812905212710175,0.102780849085193,0.0109296551592113,0.00583983745991918
0.0118664760487563,0.00759852974778876,0.022340475848678,0.0805138642726986,0.0202040043839494,0.0127484210804643,0.00794174427308741,0.0283020181219829
0.00805416573194132,0.00110198659683627,0.000892770939029209,0.0619029902799279,0.0032124792244939,0.00391237224920066,0.00428769942069553,0.0115552531308637
0.0300765240603653,3.42531963529454e-08,0.0060468808164207,0.0161335946608336,0.0274147698569223,0.00535285018359705,2.99070005556935e-11,0.116020411063832
0.00930590391845122,0.00726215616443806,0.0247509058318728,0.0203750428966929,0.0144651932676132,0.0189246491823467,0.000729249708178689,0.0187607011110863
0.0165794309444299,0.00207605513504106,0.00280973163041738,0.0819276732297522,0.0213806650765271,0.0116250879187063,0.012782687289022,0.0137495738571949
0.0135454497790844,0.00739073547448733,0.00362144005683466,0.0734994247773076,0.00548985607196536,1.66326233093844e-05,0.0132706160087983,0.00807630758735692
0.0280309925897605,0.00293435887911284,6.97117896857288e-19,0.00970463591582949,0.0170853880197663,0.00523720507476819,0.00763720357492791,0.0552089413158379
0.000551606693818133,0.00546149189083943,0.0255290301517512,0.0377837416177875,0.0212944700991791,0.0124522680583051,0.00924066231395988,0.0279983990068107
0.0164383749315141,0.00115665076562899,0.00521148038867449,0.0420107807127158,0.0103610670870326,0.00752847529753892,0.0131595739226779,0.0183637314569895
0.0207477974682192,0.00588080136108417,0.00721222239211538,0.0460256264531389,0.00617024482854156,0.0032368585725432,0.00751392787514168,0.0147612241935682
0.0303460773319117,0.00988827349545736,0.00298025707393974,0.00545992009662129,0.0202159653409377,0.00659545967417414,0.00562922049344494,0.0678658713927582
0.00310146778947115,0.00480690658507488,0.0177690293717611,0.0175208602299356,0.013028383875166,0.0128032785321016,0.00625109116141799,0.0201822832969442
0.00796856210792724,0.0158898053810706,0.015257203901848,0.0744543129108353,0.158476915583986,0.0162687417352084,0.0123308288446651,0.00612675937575465
0.0182524227717861,0.00779171614917606,0.00728899976894305,0.0942657700525353,0.0567858972868684,0.00589293098077906,0.0128972587735428,0.0107500197603814
0.0206764664163586,0.00602311663682599,5.95188463734323e-06,0.0107510838021499,0.0195156682509747,0.00791004904803749,0.00125097420615626,0.0371633730945964
0.00841436662919295,0.00668933860767805,0.0224388136011169,0.0387008682518877,0.117969533396461,0.0188272016984253,0.0123574636421869,0.0168995716519804
