"CNS_A (RefSig 11)","CNS_B (RefSig 1)","CNS_C (RefSig N6)","CNS_D (RefSig 8)","CNS_E (RefSig MMR2)","CNS_F (RefSig 18)","CNS_G (RefSig 19)","CNS_H (RefSig 3)"
0.000469377435630254,0.00736407144178542,0.0143827849063702,0.0368432860572371,0.00991311259249075,0.0350228511624722,0.0126539372717145,0.00171957083276692
0.000412351075526953,0.00679247379731745,0.0244407701799805,0.0337808066478801,0.00987011752998651,0.0183882320949012,0.0133239314232248,0.000946479321451861
8.38224421332237e-23,0.00160874293391653,0.00410138040638149,0.00410192991365997,3.78867499062345e-09,0.00327102427653218,0.00235097629504244,0.000356567180910908
0.000713874910307559,0.00483584627624373,0.0121854687404982,0.0381918351221186,0.0100471723652208,0.0168828952720152,0.00171401007019362,3.80255189254443e-11
0.00013909929027448,0.00346098079678865,0.00394361582051038,0.0314047923577893,0.00132820965058815,0.039876763435512,0.0168483853654934,0.0147421440073322
0.000725064342892715,0.00723069470247398,1.83375772209658e-22,0.0277560125440322,1.49810497172666e-22,0.0151648578267607,0.00843257457799737,0.0138224623716261
3.60490653316919e-05,0.000324274515032747,0.00152428259934735,0.00168813932958234,0.00246148381840154,0.00476130563786837,0.00107722878258523,0.00182951928586261
0.000758135217699156,0.000794762925224692,0.00538201091271792,0.0341559891426648,2.22166588531454e-15,0.029592975089543,0.00584988789375485,0.0121596844571786
7.35770248231952e-05,2.44879040919209e-11,1.26557684843267e-06,0.014752576192363,0.0029912151853233,0.0541152701191646,0.0044322091633589,0.0145502304890179
0.000216759595504508,0.00200605296076021,0.0139478577045111,0.0118709464895694,0.00275495528895431,0.0126581083016011,0.00705084834236481,0.00702851510972383
7.82378083430474e-22,1.0656743661145e-22,0.0028023665053945,0.00022011789132905,6.33136032947037e-18,0.00760382124163774,1.80788042254943e-07,0.00266959185266224
0.000335763489758075,0.000846046531117264,1.83375772209658e-22,0.0165946726890333,0.00195350290698509,0.0316307353249091,0.00707497123780069,0.0112812985714458
0.000464261101423197,0.00653731040031172,0.011943313470815,0.0149943786052566,0.00298334957671259,0.0491782981414161,2.19864679319639e-16,0.01083959365597
0.000948121229702156,0.00891122734454599,0.0147616041529312,0.0132001886348805,2.17610184834499e-13,0.0241892076539094,0.00594062222685613,0.013314005027604
4.04930610844177e-05,0.00129751995758873,0.000965739254750225,1.059735302931e-22,1.49810497172666e-22,0.00817552729306005,0.000702100196106895,0.0041741127350947
0.000796370982850989,0.00379312833876414,0.00674050053434676,0.0204342364763967,0.00482276686583842,0.0905849148760489,5.73323308079488e-11,0.0133474648908628
0.000414014422237721,4.17838504333453e-05,0.00688727957148468,0.00602546008536572,0.00123835437235258,0.0126265306744751,0.00424721498317017,0.0522534499994121
0.000242227246035369,0.00149590456633354,0.00703253392726399,0.00102055808511894,0.000948210721889561,0.0059362401940484,0.00345653136203764,0.0274273522001708
5.67995336850973e-05,0.000327830982423882,0.00419054092404022,0.00141267374729815,0.000937612919961441,0.0023237262736313,2.30111172935268e-14,0.00659447149381515
0.000271661162834845,0.00270250252175198,0.00603061440215338,0.00745441306620202,0.00714155873261027,0.0049124287696502,0.0036666135759124,0.0384013142300026
0.000199851454329177,1.35871454335441e-07,0.00594562179561685,0.00516990363507542,0.00410362866696898,0.00252631548964882,0.00320937174447386,0.0130331264043159
9.47153433575872e-05,0.00129891534630453,0.00119087653493756,0.00427076337015372,0.000969862503425215,0.00155962106140406,0.00256628223373779,0.0131924082051896
3.43788469127982e-05,1.0656743661145e-22,0.00338510072632335,1.96208635772361e-16,1.49810497172666e-22,0.0044844041110939,6.47110616969224e-06,0.00397397210359074
0.00025824447554707,0.00169605725582417,0.00217817187892105,0.00641152859762142,0.00614632626105711,0.00211267960492897,0.000590685515586292,0.0171268279049125
9.23506838358013e-05,2.37552650812668e-08,0.00603446586066236,0.00128723540282894,0.000130854848323258,0.00621722886041662,0.000811462091045556,0.0173464751460541
