"Lymphoid_A (RefSig 17)","Lymphoid_B (RefSig N3)","Lymphoid_C (RefSig 18)","Lymphoid_D (RefSig MMR2)","Lymphoid_E (RefSig 13+3)","Lymphoid_F (RefSig 17)","Lymphoid_G (RefSig 9)","Lymphoid_H (RefSig 30)","Lymphoid_I (RefSig 5)","Lymphoid_J (RefSig 2)","Lymphoid_K (RefSig N1)","Lymphoid_L (RefSig 36)","Lymphoid_M (RefSig 1)"
0.00331633894846316,3.1527163184353e-05,0.0394306114625993,0.0021358385813902,0.00867788295874898,0.0114917846442767,0.0100216184351709,0.0028121435446127,0.0311105514657268,0.00753982986100701,0.00759416698085529,0.0187111434009887,0.0106044291500765
0.0014281818324223,0.000158254290790501,0.0238646650378368,0.00181490679275128,0.0105769310321855,0.00749072832059059,0.0106868545120039,0.00407305035165716,0.0216809171993948,0.0071886000104487,0.00679251343259565,0.0125818183762005,0.0157489297369486
0.000645614761834745,5.78689939417934e-07,0.00191320755589796,0.00138734073848586,0.00198228476924789,0.000232801860605019,0.000423156027262634,0.00159993215332181,0.00493035393297337,2.52731555951294e-07,0.000537566643817898,0.000594433330947642,0.000538480617167566
0.00184054657033709,0.00333478642171659,0.0340196332708167,0.00435527695940001,0.00664431627835499,0.00616985102905033,0.00440781980974109,0.0102286813064259,0.0240698768854841,0.0043739147419739,0.00269201327516987,0.0169639601212033,0.00630102344017593
0.00389876278913915,0.00317224227505866,0.0340052365042502,0.00504760796036063,0.0137283120916698,0.0049103044528333,0.000826151059025494,0.00696061229420371,0.0240750319662866,0.00421333319060715,0.00573745126429466,0.029946872835026,0.0106698973369859
0.00243156886687081,0.00272061845882427,0.0146257537315487,5.91849842312783e-05,0.0073394922933408,0.00669212992198561,0.00353571587826471,0.004115985000024,0.0140913602233309,0.00291366935740361,0.00761801809008331,0.0116368779458317,0.00544286862947407
0.000957114737114241,4.14831374545141e-14,0.0069920837996637,8.4395475985492e-08,0.00230473484542458,0.000373497910037252,0.00051086854640707,0.00221254535076633,0.00169908151981143,4.28759000201817e-22,0.00029153508012853,0.00243210135265442,0.00251506901615713
0.00634437782352048,0.00711575706596031,0.0220678147061533,0.00681540248350567,0.00614495729852951,0.00628931193631452,7.45397846923101e-06,0.0098133665164822,0.0143272544462474,0.000452725826715976,0.00846218488408248,0.0627548607490911,0.000649788422882419
0.00129019506912087,6.88216037203539e-14,0.0704136542798543,0.00161974941687338,0.00749390750063871,0.00819579726429693,0.00607973551903464,0.00755209026737005,0.00349641552747975,2.47521550337708e-05,0.00169076301832723,0.0186658933458273,0.0192772226612626
0.000607116881633835,2.09206578769446e-05,0.0160277280067091,4.63466273818032e-06,0.00302582219019552,0.00471894355484297,0.0101319432494174,0.00572632187648278,0.00924763577185962,0.00417486426395436,0.00379028950717429,0.0127586460265252,0.00519579443884872
