"Kidney_A (RefSig 13+3+16)","Kidney_B (RefSig 5+30)","Kidney_C (RefSig 1)","Kidney_D (RefSig MMR1)","Kidney_E (RefSig 22)","Kidney_F (RefSig N12)","Kidney_G (RefSig 4)","Kidney_H (RefSig 18+2)","Kidney_I (RefSig 17)"
0.0289521643919336,0.00877777235438175,0.0247013520248983,2.68005178437559e-07,0.00642451008933245,0.0108919874801573,0.0719453271056105,0.010009061230799,0.0134242045733929
0.0167936231632626,0.0107065361166633,0.0157412216444021,0.00163180816044246,0.00292297674420475,0.00303954253101182,0.0297883631605555,0.00445827142819324,0.00705564809958571
0.00369929657903864,0.00293047971689608,0.00340215668144495,0.000896562210166493,0.000697137569263522,0.000195396164184262,0.00696809826914888,4.75675302631018e-06,0.000887260072939012
0.0165340278422656,0.00605549806522985,0.0106998768472801,0.00469459485854583,0.00296383526145476,0.00212134982471722,0.0331290487688051,0.0112666054002628,0.0109197104320186
0.023302615500425,0.0162001493340654,0.00594334870619364,0.00801689694302346,0.00747091085637185,0.00519984914189073,0.0474344483488184,0.00520816512379906,0.0113776904023522
0.0189292036141721,0.0114366751927502,0.0023927292534318,0.0184454767733797,0.00590428887311912,0.00271568163364562,0.0340607072548612,0.000110288231951369,0.0106579961895067
0.00051421498728815,0.00421402445292647,0.00161624333137115,0.00217554597984081,0.000983386593968464,0.00125083288077435,0.00432690957837354,0.00344377981930522,0.00221792766004044
0.0128024641094411,0.0102861336284691,9.90480464301428e-06,0.0352015933787561,0.00424514647963935,0.00597302866546915,0.032118242532771,0.0117464038047951,0.00825068987145787
0.0151666558952799,0.00279149630127794,0.0101788563925602,0.00150906815368465,0.0025382923493733,0.00174299193825026,0.0360594671026362,0.00543978919120157,0.00685809461876747
0.012566055487192,0.00563483915244206,0.00529828812890822,0.00335929088473988,0.00341650008863527,0.00526192207433548,0.0223159146774308,0.00174737480106657,0.00293665760398189
0.00188637071741187,0.00153620351349539,0.000879492821639447,5.45701775680914e-05,5.90065283931383e-05,0.000807978932949614,0.00526349453962129,0.00479945912156956,0.000429900101501708
0.0129850658542303,0.00401273937502691,0.00428255598915759,0.00494227082573768,0.00235108688449787,0.00494969052015284,0.0209522831284388,0.00346294481824092,0.00734341299487819
0.0154723903720288,0.00642860863481854,0.00484408314160596,0.00770064414121419,0.00518255796718388,0.0229733328582376,0.0472403559860711,0.0284244635465197,0.0111901755741219
0.0142960393927275,0.00902382580143478,0.0087430499637305,0.00480586818759749,0.005578719172293,0.0117397614223617,0.0457942459257681,0.020216773063216,0.00871063241894736
0.00191186697386924,0.00179678554494087,0.00254187457463384,2.0469405079154e-11,0.000482400808773885,0.00187573546171582,0.00715671091653724,0.00423130039467561,0.000828127373008286
0.020005091132359,0.00345201607041336,0.00680401031952588,0.0161516942357158,0.00548362132893656,0.0118942398885695,0.0434274998222554,0.057979317048195,0.0154979949721525
0.0268392933128514,0.00951643556961186,0.00482501638318789,0.00557037161337574,0.00294589427376219,0.00727648753396566,0.0188867612905971,3.1364981657198e-12,0.008351716307548
0.00940766638001106,0.00432866533011228,0.000486345507631636,0.00198216336836296,0.00129544511129535,0.0124857670249976,0.00898255657323213,0.00479551715473842,0.00388141029712312
0.00439852802862394,0.00489036490090792,2.76216055528482e-12,0.000203275130855928,0.000186192965993492,0.000337921458305054,0.00335629387151218,0.000314400019915594,0.00109568721291547
0.0239878470175609,0.00464921730297771,0.00164444039581898,0.00376836661074682,0.00126153389723149,0.0215001043343843,0.00999563272517338,0.00146005518727499,0.00825358536370985
0.014867576148988,0.00791620841995218,0.000583942790735404,0.00293403210576831,0.00170261862215858,0.00544710788696224,0.00724075735295133,0.00274020916066065,0.00660575975941015
0.00918300468168366,0.0116111298707534,1.85738489044244e-15,0.00202100455979935,0.00131398031647992,0.01511496918387,0.00312816550436643,6.17125080881484e-05,0.00464650722512806
0.00238445074123186,0.00112581804756939,1.13718030305817e-21,0.00114240955096264,0.000278817492479189,0.00180739816258511,0.000157510702623044,0.00260774784699691,0.00144998207700183
0.0191038846608259,0.00971336996697815,0.00104141658946502,0.00220659350289303,0.00131236432260235,0.0274468377487663,0.00242817186288476,0.000127594038964612,0.00784438557128279
0.0133572909173189,0.002961320383831,0.000305061696953802,0.00168073265211445,0.00133016714182507,0.00361981989415941,0.00557340577028648,8.32950472692629e-05,0.00414120096972732
0.00970042512849937,0.00579593857786192,0.00169276305668252,0.000798318091073436,0.00110328663838005,0.00448800179132628,0.00433843100737542,0.00450442431425078,0.00153445198314097
0.00139942571886876,0.00184271844088371,1.13718030305817e-21,0.000643427792552736,0.000324183809031303,0.000796971194699224,0.00153907068740737,0.000184658472530973,0.000851038822202069
0.0125326428174175,0.00480352122029823,0.00123829383985319,0.00160951505924511,0.000568187817952452,0.00857004252031734,0.00395959721921416,1.82371929934298e-09,0.00470179575039953
0.0403954604503758,0.00282674096757408,0.0044571464834171,0.0037686853585476,0.00273499041460128,0.000152976690375286,0.00928154100242509,0.0175575476072953,0.011095341537513
0.0278095028009843,0.0078972670166849,0.00125491617662825,0.00301688899805066,0.0027032535422706,0.014746925850352,0.00676071650023246,0.00777196295280886,0.010073187286819
0.00238051789918119,0.00246222929141857,0.000170560300953612,0.000192369124028634,0.000385874977443529,0.00231726124600934,0.000143580110244713,0.00162372382068988,0.000379474441398353
0.0714342494014896,4.04040093421568e-07,0.0162812257447937,3.83070095144286e-15,0.00237372106089519,0.0218899325525245,0.00287121773436587,0.0293300349634765,0.0198711960549222
0.0147063558138911,0.0345954017389448,0.0196441084527173,0.0261607694056285,0.00143569221010292,0.0152642475589374,0.0253505859912466,0.0208418630053857,0.0113716530730434
0.0048561180465398,0.0293803761262698,0.00820866672019291,0.0124116698379636,0.00134491380898691,0.00384832362485107,0.0145976534868619,0.0159382959801081,0.00575792435743563
0.00927531006256815,0.00343879735058819,0.206617738230529,0.0376185768021328,0.000234616852085477,0.00252789346114972,0.00407137160766968,0.0213651181599073,0.00233101167065076
0.00780661665279237,0.0362571492033148,0.0110922692173348,0.0146938320486973,0.00100973025912247,0.0113989585351079,0.0221411229078602,0.0184409361302533,0.00745418799936415
0.0190282489552218,0.0336297218340363,0.00941646167129047,0.00839700376769056,0.00304421825750474,0.0124521151388399,0.0230413002475366,0.0216223141174667,0.00924608646005322
0.00488713910755622,0.0381034248148931,0.0137153121249253,0.00915064868482276,0.00402776931274287,0.0151185771253284,0.0216047455976347,0.0150193371773227,0.00697608276831983
0.00299817828596925,0.00823742677603886,0.0915023976711815,0.0263090353224584,0.0011209090658367,0.00106197953939963,0.00335462447491385,0.0172155835851676,0.00189911915625245
0.0158548699402357,0.0512315622355593,0.0165270689180232,0.0168543221706166,0.002728886354186,0.0128655001022379,0.0273721770606494,0.0216683907600554,0.0101742458837175
0.00995234978204248,0.0222614339738543,0.0167259159620194,0.0285496600175775,0.000803540184626924,0.0135937581011317,0.0266239005926574,0.014181591501375,0.00696269293353923
1.96368881993531e-13,0.0240412858661027,0.0190362376732547,0.0348448801238708,0.000483183104476436,0.00519200800001417,0.0234949427390787,0.0108413787871282,0.00629834877236827
0.000937533081014973,0.000604678832390783,0.127304054923831,0.0394190299199536,9.13522032393773e-05,0.000528867853895617,0.000967071669449984,0.0273925969308179,0.00390796571944436
9.5638180777169e-17,0.0331464331320547,0.0129428910107881,0.0285146996362684,0.00113885229277571,0.00881648690746918,0.0203912853540807,0.0169210108943582,0.00688699343291771
0.0165435215090903,0.018896473163799,0.0153489195498697,0.00838923431274207,0.00290377696471022,0.0258471416833781,0.00829780663077024,0.146015151891737,0.0196668689263487
0.0129235456758993,0.0273870715492551,0.0265247283367856,0.00795973307961639,0.00290530892478709,0.00795405906238279,0.0260235060507675,0.0686258746035906,0.0146724981151467
0.00168758385238647,0.0079600183214235,0.0782059334459863,0.0118337320926253,8.63396743970753e-05,0.000117063355458922,1.69181842254239e-06,0.0261315411571035,0.00309263800422254
0.0214265283669937,0.0263105841519423,0.0182676102110663,0.01188196474309,0.00223739524041177,0.00887528187705136,0.0106369549487128,0.107017859588673,0.0181801615663064
0.0127328597925265,0.00194546663364577,0.00980293083817186,0.020118831197096,0.0710532145976241,0.0102359200592781,0.00598820909716307,0.00473682265308714,0.00349525558160484
0.00245888459230732,0.00289627737794111,0.00923536184760869,0.0134421609971463,0.00879480422543945,0.00660099138528035,0.00520819589184233,0.00427062942172504,0.00169151586138704
0.00468856031058417,0.00733418474562592,0.00937666686837732,0.00176899249092933,0.0538615572687158,0.0103927214101441,0.00768553816298451,0.00549516036536122,0.00306399841179913
0.00551710017921047,0.011606360032956,0.00525306571746101,0.0235320486555557,0.0169960234331359,0.014212560218133,0.00642843608225445,0.00882595429092833,0.00878614227223012
0.00502098570277587,0.00795683467374157,0.00173639663936743,0.00338508102764648,0.120272788666885,2.29320380141549e-06,0.000222814558472535,0.00154140116404534,0.00304316573781823
0.00740236606821347,0.0115676967059664,0.00142648213104906,0.0050372705903898,0.0427723640084861,0.00877209696154424,0.00719404052484384,0.000222027157200938,0.00810032108220662
0.00510406185388525,0.0119133543024068,0.00280121162365064,0.00402494960023509,0.129772827651932,0.00587889338547307,0.00110048563837643,1.61849830435049e-05,0.00428190331386467
0.010176042217636,0.0111824143088761,1.13718030305817e-21,0.00584386218701549,0.0493366820722246,0.00545296087399512,0.0100144006748452,0.00401095125580162,0.0180105239621032
0.00516496694963218,2.0965680649244e-09,0.00488888666897112,0.00240060797616847,0.0473555449787509,0.00424193810046518,0.00254416945147689,0.0052916107272195,0.00204967568835974
0.00252688951193957,0.00527993279933173,0.00322520506849188,0.00542017486574429,0.00843621747325715,0.00522545849683066,0.00340920591618805,0.000240375522450594,0.00417114332860363
