"Esophagus_A (RefSig 1)","Esophagus_B (RefSig 17)","Esophagus_C (RefSig 18)","Esophagus_D (RefSig 17)","Esophagus_E (RefSig 5+3)","Esophagus_F (RefSig 17)","Esophagus_G (RefSig 2+30)","Esophagus_H (RefSig 2+13)"
0.0134343883277345,0.00268142500402902,0.0456067688201241,0.00175910901776263,0.0184744199126495,0.0031441327860977,0.0229567482193667,0.00646919732558428
0.00948608023945569,0.00203078128434654,0.0142345412843815,2.1519260991255e-17,0.0151376932355375,0.00229562471488182,0.0156228736544021,0.00313925495992613
0.00114236544882946,0.000308918808053227,0.00267030208290253,0.000119128564549879,0.00303715263711855,0.000416647720886418,0.00288311879727902,7.2860800995422e-05
0.00694751743643272,0.00156779876367728,0.0193275075921116,0.00082493751898816,0.0174399705195575,0.00362835271690031,0.0134377323932186,0.00352356246716513
0.00751069523258112,0.00199807354042712,0.0391434978670834,0.00210304839385112,0.0126758494168772,0.00186970830763561,0.0133473939805724,0.00797084047408761
0.00548117843983252,0.0008572705545474,0.0122537354155087,0.00104972983238907,0.0139102496372776,0.00187194553108087,0.00826521599351879,0.00245923183170789
0.00105586059863424,0.00039747192481443,0.00486515911037228,0.000406620162168427,0.00216882867595544,1.41743398745529e-22,0.00213824783350467,0.000841824293528634
0.0117043695496322,6.04406230611374e-13,0.035814190134922,0.001600482733959,0.0146398357101847,0.00470765313764873,0.00989129545929966,0.00616288397821404
0.00890933204524982,0.00371317558068888,0.0910795710821515,0.00283121965851441,0.000638698104752215,0.00254612446350058,0.0209744265841734,0.00993520251097076
0.00458964358693975,0.000881505982683363,0.0180711455377257,0.00129966246772606,0.00902743832806456,0.00198976174095855,0.00757272555319801,0.00197087154932926
0.00127453041541501,1.29948860436636e-13,0.00591002541956123,0.000144146695938214,0.00158157704814065,1.41743398745529e-22,0.00317241743415347,0.00103541695059068
0.00713975781257974,0.000856797915383372,0.0554958103987778,0.00346845288569632,0.00550553981504038,0.00253404156712255,0.0108390292056868,0.00928273355707634
0.0178231844763569,0.00253849166075954,0.0625683790088573,0.00205393722813475,0.00965769440837222,0.00276132344313494,0.018170301775679,0.0255087263951484
0.0105054147819086,0.00279763063718819,0.0369436624827917,0.000757200760455186,0.0106600952552365,0.00218027505144763,0.0138530295790635,0.0141731890446553
0.00165466269858283,0.000409109109197278,0.00779255843613224,8.42821264171325e-05,0.00125160786297419,1.41743398745529e-22,0.00320238128293098,0.00191672039890533
0.0296295607352632,0.00494193818467603,0.124357467079044,0.0020286470648636,0.00983995592611496,0.00551857653085483,0.0239386524445568,0.0237111614970587
0.00441198149511607,0.0010517017616285,0.00320788799645753,0.000878051680548773,0.0154548975247459,0.00085511331635066,0.00445824682473433,0.00215251109810341
0.00272511092391416,0.000281272352263691,0.00146252640906855,0.000841739125470487,0.00930798525650281,0.000709455918538334,0.00296779458786,0.000321332030180671
1.35699168856274e-22,1.22793246866987e-22,0.000312648904153179,1.12865183449198e-22,0.00388508596959561,0.000304783096162378,0.0014948500319152,0.000417596518427787
0.00460181949475072,0.000628754753654617,0.00395369305395063,0.00312176670495146,0.0188260959858956,4.39274415633892e-22,0.00267599993386622,0.00293312351976678
0.00132259654566429,3.15865342476318e-13,0.00229235967417449,0.000941672136646203,0.0113691983399758,0.000582336291634573,0.00286150216289383,0.00336148909138324
0.00108819814668674,0.00013360742713096,0.000753586077502165,0.000407031415361607,0.00947218681159425,0.000740001609495766,0.00218439490216752,9.0231910187315e-05
0.000585637518969322,4.28758861547998e-05,1.18570910668464e-07,1.12865183449198e-22,0.00264170081683591,0.00013764822894958,0.00100513095459717,0.00113234410205008
0.00312387115319417,0.000176976213801905,0.0015833864820331,0.00178398108845597,0.0149671489744356,0.000901141860525441,0.00468142244712703,0.00334883097443467
0.00128239525604096,0.000396581806531219,0.00231723072514725,0.000170015580790219,0.00687214530469414,0.00100002960423919,0.00229454035683357,0.00194207530975326
0.000973222703185006,0.000258586684737269,0.00335268483636993,0.00119357752066613,0.008166280653965,0.00109287565634081,0.000930406608661151,0.000588019400732257
1.35699168856274e-22,9.88582260633823e-05,0.000135021040714877,1.12865183449198e-22,0.00181369427855203,0.000160509702869045,0.000693482828769315,3.2452753761159e-09
0.0014373223986244,0.00022296054572392,0.0031128033590628,0.00137157095998083,0.0107153847586295,0.00096864121586579,0.00219869723238467,0.00274811239350127
9.95476371235706e-11,0.00133348523051418,1.12607516295826e-18,0.00132592674040467,0.0212635568941875,0.000227703495512232,1.6859169571558e-07,0.1121590999789
0.00104872252604507,0.000722020458549491,0.00314836063330237,0.000784849011347953,0.0162047276957423,0.000509705542077606,0.00202598515921879,0.0246605333261011
3.09001159313662e-22,0.000204931722623756,4.89354446939895e-08,1.10365668138399e-13,0.00243634640295369,0.000207662721826688,0.000340932580732385,0.00635608004101541
0.00318820708416675,0.00357563920834219,0.00541300287937181,0.00517511668557283,0.039318774372919,1.48347640070987e-07,4.47449564302336e-15,0.126247133214716
0.0214113674049366,0.00179509606322775,0.00748111746424022,0.000709881197138414,0.0176989469105865,0.00731920558777401,0.0387602593645108,0.00504548970437703
0.0121598831004282,0.000855439118338645,0.00339860110426316,0.000302431381488254,0.00935475298345674,0.00334435857085402,0.0196551456345752,0.000847876450952523
0.115520185567556,1.52760525887134e-05,0.0257157404637916,0.00389095129579722,0.0073354642354101,0.000216699862271541,0.0351940728889017,0.0198395482142498
0.0147003683077367,0.00217031231056611,0.00500842299306908,1.12865183449198e-22,0.016427793094517,0.0039608994678024,0.0297285937836781,0.00149090183821742
0.0148560510567566,0.00111867544812821,0.00590702869105083,0.00117486535245208,0.0128666069332475,0.00452004447689363,0.0373853404615439,0.00775385494136301
0.0119278318009081,0.00234209336529413,0.0069458073844081,4.15803883871416e-07,0.010692608840701,0.00286125908554347,0.0299683972140884,0.00190840689651437
0.0831102369556006,0.00206128562082746,0.0199378613408465,0.000707472898634198,0.00719600371882187,0.000613513603301279,0.0263316593842072,0.0115998959112775
0.0149519506461613,0.0024086909695402,0.0090738075563727,3.00418553756999e-18,0.0149641381041418,0.00479617824484841,0.0339313436126726,0.005804591540841
0.0153715244932673,0.000682485514389768,0.00714289603746771,0.000319317913900397,0.0122899300311238,0.00426165745444409,0.0214112051462404,0.00625701669748467
0.016934823193936,0.000565910511947277,0.00586841295905124,0.00255498379680444,0.00933419550506481,0.00223345634208526,0.0172893914790841,0.00243781264286324
0.101303129204998,0.00184816740260376,0.0287724422915531,0.00420613139592745,0.00596831944037304,5.0903257273032e-06,0.0241088401256588,0.0153483482083199
0.0188758380986972,0.00142715211356354,0.00850146866593364,0.00117553635784065,0.0108229603548756,0.00235684878584761,0.0196974275950032,0.00571676182345368
0.00937392933084275,3.99356660952175e-11,0.00057370201439324,0.00233738237727793,4.43841402289137e-08,0.013411723863744,0.0716036123910732,0.223119096706931
0.0185719835421352,0.00178247615869008,0.00542836235949349,0.00288597942283301,0.00928341914935442,0.00898523018079123,0.0441277347559582,0.0520407075870141
0.0497548970605217,0.00168048034195697,0.011833028733318,0.000621167286762173,0.00295110912903187,0.0010223821204395,0.0208833081762993,0.0331807172156699
0.0198724602216169,0.000230034212128582,0.0015628485664027,0.00334596264556661,0.0058872393851161,0.0141551486902238,0.0606587936216827,0.122042163384771
0.010596015353326,0.00146793792962753,0.00494289476786242,0.00106453117091785,0.0140479218577363,0.00254814434132719,0.0063938136465444,0.00089184401015651
0.00839031684812616,0.00105246468720254,0.00295956363887505,0.000932213500344681,0.0075104398428404,0.00283474111740654,0.00807488057032832,0.000731369142677442
0.0052283192107302,0.000956462758084711,0.0021722143580361,0.000655691885023905,0.00933685488789207,0.00139408636178429,0.00813999387007189,0.00164002059849136
0.0196226832164222,0.0057626386947969,0.0190084243375207,0.00254053450973276,0.0136255161539974,0.0106952860048058,0.0179881432477193,0.00312680407328997
0.00204629475723761,0.000131594530510928,0.00227324271421466,0.00149328373328753,0.0096237065949797,0.00226156440863891,0.00324027628264119,0.000331139079910273
0.00264741693984757,0.0117526929787951,0.0016043917580851,0.00776973619334363,0.00930180448317835,0.0125245718813932,0.00934436438428144,0.00193369541111983
0.0022227981475808,0.00359936697019726,0.00156711456862208,0.00213625356781973,0.0101773493268761,0.00731741422766292,0.00766637561813347,0.00150867567439539
0.00270900522878456,0.0458611335249125,0.00140929279902722,0.0228484926202326,0.0169576270229965,0.0236527975721029,0.0132367337414525,0.00263866704899666
0.0020221418564227,8.26132465874619e-10,0.00212949303029927,0.0004579963125944,0.00638879274180494,0.00116324110369901,0.00284830072296332,0.000275556389403783
0.00154971148079661,0.00291555754831395,0.00240005015664415,0.00144965148690429,0.00433255636543702,0.00445598315430329,0.00195763826216644,0.00144347199724644
0.00179515986006257,0.00082960790686765,0.000900190851061684,0.000728404927647512,0.00644863298867808,0.00232896125981173,0.00483460615076979,3.25789299126525e-05
0.00105317470491719,0.00894515973724233,0.00331358698364619,0.00400247518196472,0.00962133624333933,0.0078679391476264,0.00814177409420708,0.00131692369978104
0.0209969406833964,0.00144726254691133,0.0126076984972771,0.00377867749164005,0.0157697116196391,0.00582121677477918,0.00891916733575145,0.00282377688122236
0.00275509612150192,0.00255701779692068,0.00185704991983106,0.00206849156606542,0.00850632644867912,0.00661287367108931,0.00273240417168618,0.0014815232392025
0.00269627465649651,0.000732412709838563,0.00234221568084753,0.00147219766060023,0.00728423826740645,0.00198327848340292,0.00347565991235402,0.00157702349794669
0.0112225390122152,0.0137736993740327,0.00512290885478373,0.00722374583071722,0.0172989934680943,0.016563850137139,0.0128725007077244,0.000582642113764094
0.021156785251927,0.00168005621418438,0.00930072476306392,0.00445508432252961,0.028313795159089,0.0081821325914803,0.00957522402623249,0.00178971016853289
0.00746342053465947,0.00274161922047809,0.00226629638851392,0.00161459835998413,0.0114105019759556,0.00861861267470006,0.0038122245832526,0.000935993037314421
0.00990345821569113,0.0017177773442287,0.00418041759880986,0.00122930670987104,0.0158822174441629,0.00850355040526254,0.0062363527474736,0.00299434483184318
0.0168043655375204,0.00581924629928992,0.00716367568481965,0.00260158380801551,0.0220556271508199,0.0119930850664501,0.0115426599278825,0.00463094690436211
0.00736087167788107,0.00363362114070193,0.00627596823648588,0.00558867260680525,0.0149668991593748,0.0180920385375738,0.00304979250270183,0.000268151158420684
0.00437021997532906,0.0415292323159584,0.00813802083761898,0.0196215852057678,0.0110302991845066,0.0565003189251097,0.00418998734398452,0.00295995150388194
0.00431781750816677,0.0209397275323209,0.00999707944111497,0.0106917951278938,0.00862160882452541,0.0452640834696818,0.00219004863472001,0.00302576099334392
0.000136821803074155,0.190570604397336,0.0165693526364481,0.0569233415824413,0.00898350590937806,0.102547939062214,0.0145715623505147,1.03722371804723e-06
0.0127224665454086,0.000699961203714443,0.00679174072771832,0.0018989261342242,0.0131960185584122,0.00789978312272691,0.00504170973785803,0.00190065303009514
0.00928201390780138,0.008238814887741,0.00464230671321985,0.00477892117574923,0.00828156936830715,0.0136921803954713,0.00181705264696662,0.000252699856382331
0.00745868416565996,0.00529688777190384,0.00431036409261758,0.00257922053553494,0.00821113004189382,0.0140179328479248,0.00267864755933706,0.00223378317832183
0.0114989394948288,0.0145969221340272,0.00486474642558948,0.0047479416424617,0.0137676146793355,0.0166737249042277,0.00613538616155905,0.00338397972835583
0.0115028632773274,0.00321008108584326,0.0102193137914745,0.0120208163280965,0.0253524609635216,0.00400205947916926,9.80259482272083e-06,0.00296925067055407
0.011947192092029,0.00622437644954879,0.00638257133985992,0.00557593583894156,0.0124209592813543,0.0233600489290152,0.00112327716245329,0.000907220105064192
0.00530145035939992,0.00314054303050652,0.00588945230990852,0.00364189163951814,0.0100453476874414,0.0147958412772928,0.00049829721433663,0.000981128476714201
0.0157051309424362,0.0191546332338888,0.0106137476631728,0.00478619987920273,0.0171889672032842,0.0322651638851501,0.00619084612679358,0.00180672968684335
0.00355543949375741,4.8084659783192e-05,0.00325857112763177,0.00635962484132541,0.0104119806787365,0.00127741432210312,1.55942880733118e-18,0.00193374637440665
0.00167770877258975,0.00211302499030236,0.000187234058947316,0.00447878845753257,0.0025898705608974,0.0072434696148303,0.000425029692635998,0.000621434406586447
0.000431110120390168,0.000178829160588239,0.0017848700820234,0.00193069027499524,0.00853050955664928,0.00430293114962733,0.00432690794374153,0.00114288686905437
0.00187730943595591,0.0433440140016296,0.00491288926550999,0.0439745000870079,0.00496646259275756,0.0688239727284032,0.00530393940232549,8.60544848601444e-11
0.00191200491420847,6.1821957509532e-16,0.00223450140611165,0.00421033972642061,0.00620075042045995,0.0039245393956233,0.00122144567951278,0.000331096649887983
0.000380030010409176,0.00959663543435465,0.00166507985206265,0.0294888950847583,0.00413662343853617,0.0104878785839959,2.23939027481226e-05,0.00191283423803326
0.00198410299446665,0.00316487902211869,0.00337195517810325,0.0117558757227323,0.00919945449717502,0.0122720700622266,0.000667431299165584,0.00423689306354924
0.00200707934842728,0.304121096847562,0.0143440637900581,0.419972137379997,0.000395192056332177,0.0651435366258684,0.0160623917573951,3.64773909884072e-08
0.00088107735006184,7.10873197551307e-05,0.00108621039059593,0.00141002730022949,0.00473965922641558,0.00175898254238151,0.00178869578523382,4.70559515388013e-05
