"Pancreas_A (RefSig N1)","Pancreas_B (RefSig 18)","Pancreas_C (RefSig 2)","Pancreas_D (RefSig 17)","Pancreas_E (RefSig 3)","Pancreas_F (RefSig 1)","Pancreas_G (RefSig MMR1)","Pancreas_H (RefSig MMR2)","Pancreas_I (RefSig 36)","Pancreas_J (RefSig 13)","Pancreas_K (RefSig 8)","Pancreas_L (RefSig 51)","Pancreas_M (RefSig 5)","Pancreas_N (RefSig 30)","Pancreas_O (RefSig 17)"
0.0148395563514606,0.0737577722524306,0.00862937997720699,0.0081581884042312,0.00600586012669106,0.0066400867280015,0.00230565608081458,0.00436848930169098,0.0227367743939349,0.00655675667178506,0.0331543176133076,0.107243962995429,0.00905087062795662,0.0172252518788276,0.00230283328392953
0.0112395416735482,0.0312489401539914,5.23701794325583e-08,0.00898467649168836,0.0162839361273657,0.0092523396408162,0.00326428462949357,0.00292105102081616,0.00624314990213949,0.00339431664151784,0.0446311035611022,0.0156381148201504,0.00833519033157097,0.0239218507284141,1.14261641642667e-21
0.000364327072898677,0.0019601177610776,0.00101587263184122,1.2225718277048e-21,0.00490672994205536,0.00137008624783355,4.91675685645061e-05,0.000472695378596417,0.00141796932355683,0.00114372240543978,0.00351994690659938,0.00501437332501264,0.00184535410498176,0.00243626095966095,0.00079327246734914
0.0190741867075211,0.0284608874733289,0.00699801826241021,0.00435060263592285,0.0127521503647642,0.00395043681793407,0.000612072407394681,0.0105988496867186,0.0193200767729606,0.00506763824185743,0.0395560864579741,0.0267649759398771,0.000531566257291224,0.0133857203403187,0.00323899946259342
0.00666062157883389,0.0330082502790153,0.00203503408576628,0.00122816477797631,0.0183631655127384,0.000969219585627687,0.0050164023780811,0.0169444277729472,0.0612142668293636,0.000177290047485604,0.0321700610810851,0.0223418661552419,0.0071096648500073,0.00617669120235547,0.00139864598961003
0.00377717902266909,0.00702754996635498,0.000160754040196858,0.00206464764651323,0.019733183212501,0.00113211229805111,0.00942552857545569,0.01867120383793,0.0198913512806185,0.00400864848396565,0.0388303372861393,0.00342263826522276,0.00467550045177473,0.0115601936184441,0.00304381247110218
0.00199749123701337,0.00562128575456478,0.00172885244249991,2.85337368835482e-08,0.00604354430109385,0.000591643044541633,0.00194313625488702,0.00385649923334817,0.00596227854409842,9.53997771061042e-22,0.000437126373809836,0.00113775481524657,0.00140656781132001,0.000357301585752246,7.92735651807945e-08
0.0183703485735996,6.37175998966071e-11,0.00138107019105246,0.00537282572974516,0.00924591715921919,0.00159103367134635,0.0177906450827274,0.0729292609015052,0.0715283885516694,0.000929313975333425,0.0316969983155596,0.00864949918613195,9.15813331881123e-22,4.95447331503648e-06,2.20075699468903e-07
0.000506266509083808,0.102900026316155,0.000483041006032238,1.2225718277048e-21,0.000245946816791972,8.99391903928615e-06,0.00239902635541258,0.0011709618289743,0.0783689278092653,0.000255811890476701,0.00225315333056866,0.0475445526682439,0.00297830428232442,0.00557378081046936,0.00411148679394266
0.00429765728903714,0.0207008278744398,0.00297172136825737,0.00170222507338119,0.0164141742895854,0.00290868364156655,0.00518873473641057,0.00375690451762877,0.021398627270999,4.03033871194018e-08,0.0172791925302305,0.00837613536393381,0.00396295358858515,0.00462394527723383,0.00265069460188205
1.66408451734305e-07,0.00690089301371231,0.000771718559840164,1.2225718277048e-21,0.00264855152152103,0.00196114040368525,0.000129324165203594,0.00033037228991467,0.00430134580275043,1.44010049003739e-17,1.39125097577719e-09,0.00332572203502275,0.000973035256720301,0.00254879958338701,0.000741362306736569
0.00616438872798312,0.0419807906675143,0.00363482847601461,2.28906354913609e-06,0.0093783964271915,1.52751616085144e-06,0.00723734509537902,0.0140419422921061,0.0828333078819189,0.00299916328955655,0.0100346557476686,4.84479595276849e-06,0.00312221244259183,0.000336871569850626,0.00165744014108642
0.0134978794437726,0.0294593952100115,0.0128355874118471,0.00500501881430378,0.00234743759900106,0.00909189349602512,0.00173031969428857,0.000261827903054474,0.174318798432925,0.0296018051652167,0.0100641825627701,0.0136745331417936,0.0114419473398985,0.00243213376074781,0.00277302369524321
4.07009171955589e-17,0.0197216164103413,0.000485188907363121,0.00463181719411716,0.0166281665944237,0.00509589126663394,0.0121285056836682,0.00176103339676103,0.0922866544856796,0.015993779276098,0.0178169270132633,0.000444019744673604,0.0093806101262841,0.0160735608816607,0.00382451521272717
3.27223907774572e-15,0.00670485016477202,0.00175292732299937,0.00056785724648951,0.000973180904574172,0.0019993983404247,0.000418592522826059,8.76836950141645e-22,0.015494599879426,0.00226945619036943,9.68055071870564e-19,0.00471028053203673,0.00278451839243357,0.00235789244666193,6.14675269742926e-14
