"Colorectal_A (RefSig 1)","Colorectal_B (RefSig 1)","Colorectal_C (RefSig 18)","Colorectal_D (RefSig 4)","Colorectal_E (RefSig MMR1)","Colorectal_F (RefSig MMR1)","Colorectal_G (RefSig 17)","Colorectal_H (RefSig N2)","Colorectal_I (RefSig 10)"
0.0264642255636859,0.00637575938808391,0.0489130197652963,0.0123524101865209,7.88232491593391e-09,0.000846524019102663,0.0133790272341315,0.0179562476138961,0.001594810733159
0.016795692547501,0.003439380546158,0.0126860837835757,0.0256273579318182,0.00124726986770462,0.00218772598499684,0.00915564941024822,0.0136990099755711,0.00244902135702117
0.00196684362998559,5.01045447371366e-22,0.00322903764072599,0.00196688366937253,0.000140166624054337,0.000270646948508723,0.00153936403115442,0.00213932682153638,0.000227597222887528
0.0146874158690243,0.00520429922181092,0.0197302285268708,0.00881177275776805,0.00273357838949797,0.0020940107705993,0.0114057266608476,0.0136004385138639,0.0128936648218961
0.0111751031746288,0.0138831066021227,0.0250747396779263,0.0902396719356774,0.007082393008886,0.00655945822087404,0.0070970013299991,0.00752044397383937,0.00346737785678404
0.00057408529612274,0.0204971066908379,4.20710752198831e-14,0.0844996558508141,0.0170972796018951,0.00911699558288678,0.00466904398239196,0.00408897838189977,0.0015049004252745
2.39835551263954e-14,0.00601595371410062,0.00253819913577572,0.00635176336141067,0.00277723852608119,0.00227546869415513,0.000371094610329979,5.0449790047966e-06,0.000333056872721363
1.59928656145612e-15,0.0410676367464033,0.0162578487713483,0.0429265309915727,0.0572221518491046,0.0314920130490182,0.00383850235931237,0.00241896154901283,0.0176018550866537
0.0200498566476805,0.00795639001472269,0.082994931591209,0.0111801161011494,0.000899911616224007,0.000946396004164474,0.0128370030430029,0.00365295028889841,0.00159368215188848
0.00708729353596859,0.00321443236187132,0.0122878271242332,0.0318859941346183,0.00163147123270743,0.00347666548977394,0.0043582797504485,0.00447005346905998,0.00179394262844572
0.00218532586467863,0.00168960838182704,0.00506205959707483,0.00167446068075659,0.000465571698176028,0.000682710911919378,8.40000413179881e-05,0.000693925086538519,0.000120758195945283
0.0109112027601502,0.0113451024789318,0.0478853471717775,0.0110529981985768,0.00754442335599084,0.00422266670361086,0.00665679961800385,0.00508124921193681,0.00998242673563887
0.0243061175351309,0.00620421022040105,0.0722838058648862,0.0247964339148976,0.000210487335979295,0.000469524725578496,0.0121361316156952,0.0154585798240046,0.0383401629219922
0.0142953272317678,0.0051160762596873,0.0372225248660764,0.0190728659898244,0.00150248235571283,0.00150727310733677,0.00593635775225812,0.00931702358749407,0.0070271739798315
0.00212787662727997,0.00095337671436851,0.00853986693198723,0.00274162541358313,6.75046552006989e-17,0.00031082307330396,0.000756575423734822,0.00134408374407353,0.00109848576996956
0.0302019995321202,0.0213328958782651,0.127122279768051,0.0194095613207447,0.00394524892121289,0.00466091076350143,0.0125141925931743,0.0169486013123511,0.291234534988151
0.00719185140199618,0.00243920819028053,0.00212343471404375,0.00577615559267076,0.00308708428155427,0.000917403762930541,0.00409749335897208,0.0145854781504664,0.000730693673700069
0.00425875577417322,0.00118876170054223,0.00158987368886419,0.00377606661412575,0.0014279455136902,0.000481898820223965,0.00467051392881067,0.00846818530396137,0.000303086770093198
0.000956886556699874,6.55873523079987e-05,0.000380461239091828,0.000202423445916013,0.000154260302893466,5.21244330405808e-05,0.000435141916686674,0.00216559694434417,2.45779921134741e-05
0.00697495547182598,0.00187319848879599,0.00252239411828636,0.00546631875907902,0.00284222309934187,0.00169134896266236,0.0117873194643012,0.026635339530419,0.000441902266366748
0.00383676392386671,0.00041364829816975,0.00122748635755713,0.0109204454930844,0.000295761971347794,3.86200703011592e-22,0.0038946030065678,0.00687765446461698,6.58339074468056e-05
0.00269560582228389,0.000517945871420517,0.000460767842463864,0.0160774130341136,3.27510290048066e-18,5.15503555141562e-20,0.00331974435494084,0.00434913115621714,5.35449113900685e-05
0.00131457596580218,0.000228153142259614,0.000398612914729156,0.00281559821026311,0.000326217470835549,3.88969086947019e-05,0.000335171218585427,0.000725525175216184,1.49223523546093e-05
0.00662897694992135,1.04922841756406e-19,0.00151890478111045,0.00912235071949586,0.000278750388511285,0.000243438035301986,0.00675060793755068,0.0102190595981758,0.000104205670644372
0.0030145652300075,0.000997372648821737,0.00139068627861532,0.00241366259755205,0.000638484417526197,0.00035068573142883,0.00241843010505714,0.00432524094432633,0.000372181023432607
0.00298859418956452,0.00147100303374412,3.84621548714739e-09,0.00586771038384953,0.00159455556466261,0.00186664054375445,0.00404445989176354,0.00680870268699155,0.000289418396928052
0.000338953936569546,2.31636958115488e-05,0.000508498558551601,0.0006544278440003,0.00026203431266008,6.96396318036221e-05,0.000303180708673937,0.000858090506182902,1.19128022998982e-05
0.00492307898872235,0.000733900859955798,0.00105461929807693,0.00335072108951229,0.00150195695703828,0.000935734502480003,0.00439076377844671,0.0108813222539909,0.000379077908974654
0.0104969853313637,0.000663563220794034,0.00391106887108061,0.00509897281385595,0.000172829987367104,2.09085760217161e-14,0.00839558488997378,0.0223936944005775,0.00015336165487132
0.00647245346768111,0.000497983077502748,0.00205593689643404,0.00557179875147689,0.000383568934685419,0.000339983404247665,0.00454672341044319,0.0121282813315866,0.000122513766810532
0.000888709018308272,0.000144702350267518,0.000466898973508796,0.00133164273062259,4.58250244575449e-22,3.86200703011592e-22,0.00110415752745396,0.00177262387975546,1.79319024093204e-05
0.0149473820245592,0.00219772543869121,0.00412421938453613,0.0082475254406314,0.00175303725721778,0.00120262125412918,0.0225515224019148,0.0590507504333769,0.000352618948076985
0.0112742708287693,0.0454693585060262,0.00750792148955667,0.00506561499039137,0.0393334110710476,0.0250516726575777,0.00760838009759294,0.010744369356436,0.00275035255624912
0.00782857740647131,0.0136308346461173,0.00622031287390191,0.0153326514638637,0.0121804375116962,0.0129799275913939,0.00258346041508093,0.00442584043988765,0.00386150351603225
0.100108247971571,0.137633548269886,0.0656165062112851,0.0156175027981928,0.0379036156666383,0.0138727540933938,0.0150708317056814,0.0117735393328883,0.00776639471201992
0.0174492222053309,0.01455452034644,0.0114053502026793,0.016196392891966,0.0150458641692141,0.012567068360406,0.00719118473562738,0.00875136227607343,0.00632908376505747
0.0119634886583256,0.0125052298002944,0.0119429469902918,0.0125499929759441,0.00532384430998886,0.00989551450214137,0.00540520217413744,0.00940646289072748,0.001335613234697
0.0104762805833178,0.0129391116311269,0.00815769614185588,0.0185239627367066,0.00546589845905162,0.0208107413441216,0.00248153504532014,0.00422558379363297,0.00202166524925219
0.0560192129683953,0.0905653565668772,0.0422047466785012,0.016083041774105,0.02856376507503,0.0104169639865221,0.0125859557239771,0.00622416278919787,0.00376858365809304
0.0160090425280094,0.0114843316541904,0.0123492075768522,0.0282335335294318,0.00390669322371378,0.0277628938084503,0.00568284085226175,0.00783906930825921,0.00342549495185598
0.00255648491819332,0.0378630863529932,0.00291636853379418,0.00537553667340876,0.0306264018012371,0.0414102110676689,0.00138961600701187,0.0059920662465897,0.00401022544790256
1.97821672044094e-06,0.0363729481748416,0.000340425096034676,0.0184773376867304,0.0378683943199211,0.0759371011903563,0.00160848356265907,4.32911608488979e-13,0.0131452130473024
0.0641053270392529,0.130492904523407,0.055576001524783,0.0166220729349081,0.0533685802843492,0.0264369883465792,0.0119970994685458,0.00776516435574941,0.0164746531932455
0.00705004121588293,0.0267734705560653,0.00502203754869356,0.00897179880325306,0.0253030502964763,0.0586504665964543,0.0038904696151812,0.0047644067287741,0.0164607340242424
0.0226892235759644,0.0134059025164459,0.015062202697967,0.00846652920495676,0.00301937756858611,0.0161019641062297,0.00427573622204923,0.0219856127526748,0.00499836104919937
