"Skin_A (RefSig 18)","Skin_B (RefSig 17)","Skin_C (RefSig 1+30)","Skin_D (RefSig 7)","Skin_E (RefSig 13)","Skin_F (RefSig 38)","Skin_G (RefSig N5)","Skin_H (RefSig MMR2+3)","Skin_I (RefSig 8)","Skin_J (RefSig 7)"
0.0298355845786419,0.00687733202102674,0.0115292344250588,0.0110468509512203,0.0092857371584816,0.00578057607820017,0.0113935812661664,0.0113121516757562,0.040084676502733,0.00147821701379004
0.0155957531349901,0.00509554217354993,0.00776040939116729,0.00500486009818572,0.00669773289213215,0.00914023427209216,0.0171594379495315,0.00214789688050453,0.0297484101050488,0.000839896030562525
0.00266416086785875,1.83167927682954e-21,1.35233204162522e-21,0.000707219117606475,0.00120766525148932,0.000644631595612852,0.00110474976752508,0.00146041395853337,0.00247035998074737,0.000145285861440575
0.0183945655100563,0.00434035044435897,0.00487890478743363,0.00791969600107808,2.21388261842764e-09,0.00667444302918583,0.0082696316567926,0.00449845335402466,0.0273824441243198,0.000940845072697443
0.0271557408483176,0.0458731786350216,0.00495030995097176,0.00525088844865885,1.23562641986089e-05,0.262036595183261,0.0305433182493932,0.00697875351556642,0.0126643651027615,0.0032965111607242
0.00824388357704823,0.0114915196031789,0.00857923434409848,0.00711366128828639,0.0106526441090647,0.0302591586166888,0.00552048369684551,0.00958950454375722,0.0220042060170577,0.00137767176782366
0.00341702027343288,0.00539698374161634,0.00233003855500048,3.4433124712124e-17,0.000527205617664724,0.0382899532309806,0.00126075068706279,0.00199253459798709,3.0209456435738e-13,0.000489400956270086
0.0171829142007515,0.0271945779732791,0.014686816475239,0.00927291879146393,0.0101346694117614,0.101079182189866,0.0140985741710814,0.0162270189844957,0.0144387153173242,0.00260997691497304
0.0443968593924627,0.00473109662884318,0.0055290620074344,0.00559314864785698,0.000911165649823268,0.0127087538728468,0.00765753239124661,0.00186453749117152,0.0133178600379478,0.000695417761459029
0.0118444126743581,0.00326745255352153,0.00204182901413968,0.00412076465892454,0.00141283895429403,0.00668193359657643,0.00694975704109035,0.00964473599046325,0.016284180748667,0.000419221182177891
0.0022471515983418,0.000129712585295156,0.00182844258615525,0.0005956114269298,1.55422171619136e-21,0.00236622547975915,0.000514322645338357,0.000272071435470949,0.00149589229984356,7.43792542450081e-05
0.0245278099282798,0.00339379338223987,0.00104138476547476,0.00607395297460326,0.00957706723125221,0.00755267805698378,0.00763567470266914,0.00254388174088635,0.0132626641134216,0.000419624978346431
0.053849940764731,0.00884914511440189,0.0155408654073087,0.00895741575450509,0.00836118900092373,0.0180059116769883,0.00661902307034428,0.00909042999427938,0.0169782882427507,0.00192594620546683
0.0270731082579624,0.00295044462666282,0.00887363886991793,0.00374071550639611,0.00820051709960587,0.012267754791095,0.00987098497110062,0.011547717808138,0.024082649388714,0.00261231893275057
0.0028196957829151,0.00134494055517246,0.00277057896731465,0.000886450456105554,2.47154823442671e-09,0.00341692360160298,0.000472107650218293,0.00291021026462091,0.000636180167169632,0.00018849205147432
0.0707905137758394,0.0163505861199225,0.0175817383814089,0.00370831844376864,0.0132635111740533,0.0396150089649852,0.0116561013803701,0.0176513506613544,0.0329962944411848,0.00239854924112567
0.00487116278229638,0.00654410693176474,0.0021642944479441,0.00777209892321092,0.0140973486742588,0.00705516800073159,1.24922673100128e-15,0.042088793615662,0.0136242124794387,0.000691541318241047
0.002653340675357,0.00343938913071072,0.00142572999432238,0.00441426830918165,0.0113230644781564,0.00747597654213883,0.00328195432485652,0.0175055530647731,0.00945012437068774,0.000480840477497045
1.94675296585625e-21,0.000427540156691047,0.00337080856744535,0.000155551177038418,0.00340023593497862,1.58485880934141e-21,1.46638821731017e-15,0.00222822301487493,0.00271778728132264,0.000227094965186713
0.00735970679364662,0.00494930941921756,0.00296939479507573,0.00375845404841318,0.0243666283294423,0.00104065906529711,0.00675440224555338,0.0235644151725239,0.00909637923115821,0.000849021823971521
0.00130208849969804,0.00219651090997764,0.00632809304974971,0.00348934890324144,0.0141294762425799,0.00159564737036583,0.00113368248690916,0.00666078158273814,0.00956850139266955,0.000467595963168944
0.00471189963551357,0.00386342786983933,0.00348644231225688,0.00286353002777663,0.00729090465158407,0.00194103748070744,1.843668629054e-21,0.011928702004058,0.0106174762499423,0.000590834553807253
