"Liver_A (RefSig 16)","Liver_B (RefSig N1)","Liver_C (RefSig 24)","Liver_D (RefSig PLAT)","Liver_E (RefSig 1+MMR1)","Liver_F (RefSig 13+3)","Liver_G (RefSig 19)","Liver_H (RefSig MMR2)","Liver_I (RefSig N8)","Liver_J (RefSig 4)","Liver_K (RefSig N11)","Liver_L (RefSig 22)","Liver_M (RefSig 1+18)","Liver_N (RefSig 17)"
0.0195746468574979,0.00649105548890667,0.036434958280782,0.00659121538589929,7.76027653602858e-06,0.0140291316341723,0.00582830578507461,0.0122513147409923,0.0217106317700132,0.053799868725402,0.0123423461614532,0.00561922774671281,0.0320947238047488,0.00393595903722114
0.00763259651175296,0.00758288740397025,0.0250135219829857,0.0411713755772813,0.00337839729002054,0.00938890418921907,0.00362173043326094,0.00256305596687764,0.0181739416984994,0.0317334891317837,0.00884087381157543,0.00414289571473271,0.0168856571447242,0.00421117402942849
0.00114798867921363,0.000176735116115346,0.0206098512746895,0.00100391072118053,0.00194576760785529,0.00190636788123404,0.000233346414193239,0.00152087924359931,0.00604602369136264,0.00474145188719118,0.00304916756567227,0.00103090157235115,0.00186175847697311,0.00086197350283682
0.00892160052343289,0.00646106888635705,0.0228571174822455,0.013013646763754,0.00612852878693388,0.011217993009596,0.00346880172912942,0.00436848628802985,0.00630641808850536,0.0407582015060674,0.00598916721226844,0.00516729701707795,0.0197125425788169,0.00337668144163337
0.0186569966284588,0.00702039636693337,0.0428727214964622,0.02497933748761,0.00728563563383338,0.0223688751297667,0.00589530518362747,0.0126805956934994,0.0332738373808237,0.0586402059863794,0.00849187001244371,0.00534865534333575,0.0127537155474875,0.00203957545464157
0.0112408037741117,0.00682948584695777,0.0345920229728483,0.0254736004339822,0.018175552793985,0.0156382163551124,0.00484058530602241,0.00627169041355041,0.0320827627382548,0.0487086930968055,0.00896949978858794,0.00553724836410709,1.68905491616561e-08,0.0015473342961316
0.000367530889845212,0.00073810496434992,0.0164275829255092,0.00177887003969791,0.0024119263522876,0.00177471253582905,0.000575385684263556,0.000975769711549117,0.00802241943281212,0.00623991763572206,0.00204369345041193,0.000772632568738338,5.72796080467004e-07,0.000499097387171478
0.00752887740738579,0.0040242125575088,0.0232529520639841,0.0648143608134293,0.0469514403975735,0.00992743810198786,3.73067803566708e-10,0.00236874112210732,0.0086602699531294,0.0498118307833862,0.00670608995335652,0.00555914718404933,0.00137513822207649,0.00365590962270135
0.00810844347647356,0.000994348416718055,0.0490438699693615,0.00639149928167601,0.00243698214106789,0.00817592378601642,0.00366834367808477,0.0091804127751957,0.00687571410083151,0.0356243751296981,0.00271938137588441,0.00841530799625875,0.0275284307351874,0.00582131774354788
0.00520886563258217,0.00111522315542653,0.0977131252362164,0.0430359378932054,0.0047122755870351,0.000232792728639464,0.0013875782798839,0.00173038154155641,0.0011696382579748,0.0184673924846765,7.48119251473779e-07,0.00919738897826749,0.00486105855106855,0.00833113252587639
1.71996770705557e-07,0.000438848597592142,0.0430438613960415,0.00107999934090171,0.00155177924520198,8.82363146181946e-17,0.000490494841011013,1.41515003753757e-06,0.000609886380991693,7.35989141636613e-13,0.00215324214532489,0.00312799689622515,0.00269017797176463,0.000347201491346075
0.00453271157879509,0.00263845921777825,0.0436120615645842,0.0178738545548541,0.00954309536027299,0.00482520179569799,0.000962743690559871,0.00114191603273571,1.60210801906223e-08,0.0279140962550291,3.29009621269276e-11,0.00722653506827187,0.0161025337772612,0.0037667990896801
