"Prostate_A (RefSig 33)","Prostate_B (RefSig 52)","Prostate_C (RefSig 8+3)","Prostate_D (RefSig N9)","Prostate_E (RefSig 5)","Prostate_F (RefSig 1)","Prostate_G (RefSig N10)","Prostate_H (RefSig 1)","Prostate_I (RefSig 18)"
0.0118556074782332,0.00882032215678247,0.0230621691014931,0.0244862676671193,0.014518481424708,0.0251880198763809,0.0180630894817565,9.9944852140146e-17,0.0444415215888799
0.00638483377299054,0.00281321843275311,0.0278316053753168,0.00636678380280416,0.0134101754475207,0.00904102348940704,0.00485037668440209,0.00616300686273498,0.0286428965744599
0.000676055564520212,0.00351727380924602,0.00375373610718243,0.000636380501467632,0.00279501764578803,0.00262883664479298,0.0032831580282088,1.58292135084948e-13,0.00336611555919125
0.00398143374758444,0.00619000667736342,0.0297528407267445,0.00853807408011431,0.0118854301933136,0.0147844964668339,0.00791980871189863,0.00171445147835331,0.0172128080208919
0.0100779576635558,0.0339805451738949,0.0337932165718617,0.00852313480293122,4.8592379616314e-05,0.0151120175657103,0.0116583668211653,0.00383433795046342,0.0251425055017437
0.00627144702634505,0.00670161660999933,0.035562874561242,0.0118527726111097,0.00219918036209997,0.00264766226357955,5.44327605142305e-06,0.0131556510845963,0.00773999849786261
0.0031425822931887,0.00532742253653896,0.00452869926829368,0.00217988315622845,7.34430341751445e-08,0.00155115740590267,0.00149010109212769,0.000525016686281146,0.00253078195061595
0.00459747708979748,0.00653818968198772,0.0382168480954018,0.00399120367706071,2.46417346389856e-07,0.0052920489991671,0.00991079938582167,0.0169126960781295,0.0114078253432424
0.00519761461793748,0.00152995692653275,0.0171762806717745,4.37020380406377e-21,0.00574372727998399,0.0151881775141985,0.00858961060708364,0.00193135886552077,0.0375703360770767
0.00122985599003872,0.00268318570038475,0.017334258127414,0.000647973867458746,0.0101269960718818,0.00212270282057476,0.0032520629235267,0.00453025749595787,0.0113392146097355
0.00108954024805682,0.00349580182261371,0.00141834128374531,0.00191535972324073,0.00211030874573167,0.00250625553596357,0.00175884936587709,0.000319276543025757,0.00518343943145896
0.0019983303694216,0.00354352783169197,0.0159020802780242,0.000146861610920399,0.00577785626172816,0.00485337995252283,0.00489788198677688,0.0090931047931047,0.0211674065323709
0.013437290806739,0.270875832755973,0.0106177515072169,0.000977978021130315,0.00398455416320154,2.48003078029244e-07,0.000874540569836709,0.00382567365983812,0.0318844693564849
0.0112655210955215,0.0345028461298412,0.0188722030778295,0.00416333112891408,0.0234738263809842,0.00989380348787534,1.67777408324785e-14,0.00469916767001827,0.0354693377525794
8.46278766510025e-09,0.069546830629444,1.91548311410072e-11,0.00219107508704824,1.9640164179569e-18,1.16940168924772e-06,0.000407035505451271,0.00125992652142426,2.24823683353916e-14
0.00535683484626453,0.0342460372416552,0.0210625570840946,0.00189291516092792,0.00989754483741409,0.0143552977143974,0.00646777548503825,0.0155527213682491,0.0715092466786952
0.00639734718444783,0.00818722664529178,0.0140879692112443,0.0224698796193324,0.00550023062163623,0.0057724866076549,0.00809447065848075,0.00263370903669276,0.00201167704644248
0.00429937563706497,0.00632152688071564,0.00922053761880212,0.00496306340943944,0.00801026578196335,0.000613473237844272,0.00469259694397703,0.0016876193782893,0.00431025350333056
9.63769769073244e-09,0.00189700485374707,0.00285385247076581,0.00112608783071691,0.000605570822728288,0.000187155636839176,0.0046234799553565,0.00042457742325382,0.000334071960901141
0.00596291414483586,0.0110916300021972,0.0135183332778892,0.0161045830256148,0.0094002017909069,0.00682160273283932,0.00654265879054795,0.00145949485807924,0.00281655847184864
0.00058110315020592,0.0042984912908261,0.0107363339019114,0.00127182395638075,0.00742754248936169,0.00215690589046317,0.000379378500314503,0.000581602206223359,0.000325088789704634
0.00472430939524543,0.00337537937499711,0.00899197420763512,0.000421242140510364,0.00935846557333199,0.00130152406530606,0.00125804310337569,9.66656393245974e-05,0.00290793020099365
6.34494787434962e-06,6.60736937847136e-21,0.00410248669810891,0.000283040806888893,0.00264213126317816,0.00301479474020467,0.00048043624195932,0.000711599303457109,0.000810335298136698
0.000444282170889504,0.00349653557775216,0.0171983249195637,5.54765878881801e-10,0.0133043053030533,0.00455600757678167,0.00129981966757534,0.000948293076303143,0.00112894683749663
0.00308607021559674,0.00573973826011724,0.00662006276329202,0.00469934147112928,0.00197103935471931,0.00184481814015274,0.00578133969849901,0.000256984686271619,6.18614101706425e-06
0.00143895169443709,0.00483060514975911,0.00590907739695959,0.00260370039765897,0.00796709890512907,0.00171585107747039,0.00498178651961099,0.00248479437594128,0.000134741037709849
5.88158969834348e-21,0.00142065927402464,0.00229803683469001,0.00224533046676593,0.00028893046786626,0.000324649935967453,0.00117932831158041,4.08905937743056e-21,3.90547057349946e-21
3.73287671915718e-14,0.00272606720763497,0.0111654254021516,0.00896496275961783,0.00610633802907846,0.00130960135032342,0.00406776053845731,0.000765114586949775,0.000848131279977782
0.00581234472060168,0.00872322478900381,0.0184988346648095,0.00475733313999942,0.0203481453163549,5.76846924436967e-08,0.00851209288722015,0.00053625472093645,0.00431589908579937
0.0074191901682932,0.00364207899031555,0.0138436865517137,0.00388804088567312,0.0171416845231412,0.00296616364450943,0.00485659322657368,0.000788504434075608,0.00315000116259062
5.88158969834348e-21,0.00117948086191992,0.00198920247697745,0.00378168712375808,0.0018195722571572,0.00077427917251763,0.00311813850907147,0.000383917304362863,0.000694048931933767
0.00942210679614327,0.0090068967176138,0.0307938272641124,0.0179881733243773,0.0341911945288428,0.00735245713904275,0.00532872573491914,0.000670510721206458,0.0126486805880901
0.0201409946611857,0.0137704269245355,0.0158813648135652,0.0185734955828629,0.0186521348801358,0.0289747863954677,0.0317999980027335,0.0226313477987413,0.0116340995638055
0.0129123753512756,0.00477971716430423,0.00640518278143982,0.00692656162350465,0.0167456684177464,0.0139203257335923,0.0147315127099762,0.0112377327905416,0.00586621213271849
0.0406324777101851,0.0160447972224866,0.00590401525157101,0.00169340903300453,0.00402983438236692,0.188719545471154,0.00685826165181307,0.12792805078909,0.0209563759008417
0.0124718197617708,0.00837827829797513,0.0139665063624295,0.0231510876713047,0.00782296234531423,0.0168918553841818,0.0373363035774416,0.00690980643899157,0.014349756382165
0.0144610798071733,0.0175980977130929,0.01020466387008,0.0392054347633789,0.0146047392919906,0.0140617803783173,0.0143972609955407,0.00770987877767595,0.0186358200793416
0.0112860179947616,0.00782408885333778,0.018390506417331,0.0100226029263335,0.0206351925409303,0.0172165375717623,0.010269342973969,0.00994907428498772,0.00471560061394282
0.0240252839060246,0.0109177258317019,0.00644206780464965,0.00569603045817754,0.00603184488757935,0.0897456047057173,0.00375357560513616,0.0873610960934061,0.0155908726182569
0.01521150372308,0.0137532842206628,0.0246490247450312,0.00343067423085752,0.0218167888228886,0.0253005317932283,0.030193739928108,0.00971397882012771,0.0135032948945388
0.0136293649977284,0.00742877450739728,0.0123556729261809,0.0166964418093711,0.0262045883426591,0.0103161993868961,0.0132083965075484,0.0262754001728954,0.0073611106553763
0.0148502083876991,0.00356432001166307,0.00633817119863246,0.00905390353383774,0.0211912313652538,0.00917030774455506,0.00662922316236237,0.0387258293376688,0.0160847869697926
0.0171435793918026,0.0142461325422144,0.000380142426599585,0.00364705407380772,0.0100009176283771,0.10458307654156,9.62802878643737e-07,0.129460176327691,0.0436399577647347
0.0150531952624373,0.00443999758154781,0.0107825212577023,0.0158783395624362,0.0178682421124814,0.0162085429833511,0.0126311070053939,0.0218289091405027,0.0144039014135196
0.0140280488653838,0.00857115783182483,0.0156047548603385,0.0286587569447081,0.0370465719693559,0.011401231021703,0.0117642562585275,0.00824275814815737,0.0342748894248444
0.0157540821738081,0.00740716622858624,0.0102696569310834,0.00674697241186346,0.0380704462639869,0.0180621442052767,0.0147918449532619,0.013070861280746,0.027609236691141
0.0133399612172965,0.0113818216306121,1.31519227163502e-09,0.00609729955694427,0.00190451920548525,0.0625043620226857,0.00826445020788923,0.0585349356210653,0.0306643512806048
0.0147686075331277,0.00449501677353906,0.0145124265068794,0.0341289154703201,0.0354688630364818,0.0171896748291244,0.0205310872046073,0.00914216006507686,0.0317857218953578
0.0163415576682187,0.0081701386976946,0.0061712314506495,0.0318465645934863,0.0137067997228214,0.00627437957279179,0.00291471478808484,0.00727655542541945,0.0129552970752299
0.00432206727720511,0.00221374181807042,0.0067311882519416,0.0079274486245659,0.0075135150040993,0.00153267682126177,0.00923045713485056,0.0119337183678443,0.00567691496449776
0.00680499031738759,0.00416108923738905,0.0116545188542751,0.00442243067892861,0.0089244244242465,0.010440848750262,0.0144914249084084,1.05598916573171e-11,0.00327407702706954
0.0113056816340273,0.00645903129338287,0.0102231242850285,0.0108753413842926,0.00915087930171348,0.00135594631464715,0.0209373049323077,0.0263147630254911,0.0361001385629587
0.0111900238181294,0.0016662544441572,0.008802154726819,0.015794571910356,0.00122873826519965,0.0039851077111289,0.00771324360739233,0.00131499536690949,0.00233669217722665
0.00768937783860503,0.00103649739104327,0.0216008892538082,0.0135174414288294,0.000607320238334939,0.00500041982270049,3.97655410901492e-05,0.00330532879661768,6.46212232368948e-09
0.00685793097357056,0.00390589770223248,0.0167217119546094,0.0106384738281495,0.00483110872919355,0.00502625190653354,0.00944503764665794,0.000618799176485584,0.00313384180341757
0.00708530965381146,0.00241195228842213,0.0303054144524565,0.00562399100620756,0.00489964859290845,0.00600377088116475,0.0144974487519312,0.000873235218318183,3.2558485750727e-18
0.00287612547263141,0.00124417479216157,0.00744070570062438,0.00344101081721888,0.00417805060050491,0.00181221329555484,0.0111133255215141,0.00257733741461945,0.00309761793164881
0.0020483842620235,0.000740477820627951,0.00676082807069955,0.00483763697487409,0.00192910422150387,2.15162103155304e-17,0.00586233749939661,0.00701659172302896,0.00188282084538773
0.00331189542674985,0.00717471432566426,0.0102154456776129,0.0113232247117831,0.00111361177976192,0.00493271297003588,0.0083306919543064,0.00115279681079222,0.000712176473940824
0.00411284655173046,0.00126819243872359,0.0168338257009861,0.00318139156026415,0.000173613961652751,0.00114402263741981,0.0139784468788745,0.00314417052671938,0.00189673993810947
0.00818637651753665,0.0017305195255757,0.00772926994360321,0.00804803806826885,0.0188478112767293,0.00657713971875884,0.00762977135854311,0.0122642314650599,0.0370219953905816
0.00782637218613472,0.000464732718682567,0.0125116199425585,0.00753533248106172,0.0046035936966181,0.000636888491516539,0.00285478964838184,0.00224850004681283,0.00344469459719892
0.00557861488958068,0.00232947459065874,0.00801419362917444,0.0260252490031613,4.63489439432982e-05,0.00191535631352252,0.00192653807964605,8.68861530537841e-09,0.00265022451066374
0.00770514462822207,0.0051426710380668,0.0206481142948033,0.00959898217695964,0.0162442805691676,0.00677831843643176,0.00746769841718147,0.00195792240567132,0.017691264099211
0.0248922042027928,0.0194233798850192,0.00582253331912256,0.044632722290334,0.0383572090047927,0.020898937055823,0.033961606784714,0.0156818599228636,0.0175402195343986
0.00903905586509154,0.0088727572552333,0.00352436895201109,0.0246160514402907,0.00148984802393325,0.00323037695231139,0.0306112378213567,0.00751297416523579,0.00268388019812482
0.0455005899924638,0.0104228509017322,0.0134365218605026,0.0190818635739853,0.0216515455226495,0.00908935797072139,0.0025489155245955,0.00789703563693791,0.000643762986867932
0.0166203319795083,0.0218591507319383,0.0123245513475223,0.0396841318061287,0.0279448453747148,0.0182833784592599,0.0222554429024912,0.00574675470245058,0.0166439303890756
0.0149380957807876,0.0129357620554199,0.00251653875800905,0.0351384350895998,0.00237970783084549,0.000560460193021468,0.0262119621925311,0.00964598385674748,0.00286230169360448
0.0213303509146335,0.00633516456744552,0.00976386752076381,0.0367047943794795,3.65040789866913e-07,0.00300251130532345,0.00840873785101313,0.012056415493571,0.000191037691954761
0.0206696770713508,0.00422231264717374,0.009386089068488,0.00288118370902461,0.0097823908199024,0.00227738560549285,0.00219278592238839,0.0103410953706192,0.00409581497580903
0.00867278770453277,0.0118698191136122,0.00833076962652403,0.0128318721745261,0.00326964076314768,0.00285343654023011,0.040031861917621,0.00729585193401684,0.00125493454556118
0.0164826258824768,0.0109466420083811,0.00403281767030178,0.00626731865418526,0.0189916571036805,0.00190584754499076,0.0249518823652844,0.02778914730269,0.0108517006970758
0.00531684687956665,0.00804777908802076,0.00289350921782187,0.0151530767864556,0.0122891020009009,0.000656975626053483,0.0130085819551589,0.0162234738407107,0.00243176242818408
0.0627422540696191,0.00266788685635603,0.00350083074753824,0.00400796091749666,0.00583047324868423,0.00195829756160222,0.00118207660471534,0.0088683249170633,0.00123270005538079
0.0102023452483837,0.0127007219188885,0.00410037312134213,0.0203217580105961,0.0167075898049698,0.00596990027650323,0.0265699740362949,0.015804216427734,0.00921875817305851
0.0137939839012297,0.0132886458736269,0.00398834590340312,0.0127499168704653,0.0222441829658643,0.00273251782242306,0.0365914083792003,0.017125527794519,0.0113851484902699
0.0109608416809472,0.00659644845893349,0.00360007019521958,0.0129195934292529,0.0110101412151726,7.91474907153576e-15,0.0274597394196305,0.0146051660404341,0.012925614484356
0.113518702884245,9.89687713615626e-05,2.48249076504976e-09,6.8513641505862e-13,4.07537351422944e-15,1.60646527980428e-10,0.00122239769984303,0.00566899064098075,0.000948000612202245
0.013744562346375,0.00749004248995564,0.00285790967708947,0.0372354231053525,0.0130853321322688,0.00743832233091047,0.030557673708354,0.016674427247772,0.014939346072416
0.00122105193407234,0.00562023311236882,3.74678251411937e-20,0.0120070801293733,0.00925613601302572,0.00217919380494744,0.0178030962590302,0.00234723132175553,0.00682710572974143
